Filename,Mode,AvgTimeElapsed,Flipped,FlippedPercentage,RunNumber50p,AvgFlippedPerRun,AvgFlippedPerRunPercentage,ti_fo_per_all,to_fi_per_all,ti_fo_per_avg,to_fi_per_avg,Row,Column
CastMetal1,Default,0.00376944008,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,327,37
CastMetal1,Optimal,0.00097026254,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,327,37
CostaMadre1,Default,0.0010046192,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,296,37
CostaMadre1,Optimal,0.0009123008399999,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,296,37
KnuggetChase3,Default,0.00082318844,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,194,39
KnuggetChase3,Optimal,0.0007840283199999,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,194,39
KungChi3,Default,0.0007041575799999,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,123,39
KungChi3,Optimal,0.00068129672,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,123,39
MeanWhile1,Default,0.00087133,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,253,37
MeanWhile1,Optimal,0.00080120168,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,253,37
MegaWatt1,Default,0.0009571791,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,253,37
MegaWatt1,Optimal,0.0008876541999999,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,253,37
PieChart1,Default,0.00134071164,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,705,37
PieChart1,Optimal,0.0013166816799999,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,705,37
PieChart2,Default,0.0013371833,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,745,36
PieChart2,Optimal,0.00130041162,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,745,36
PieChart3,Default,0.0017853142,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,1077,37
PieChart3,Optimal,0.0016958782999999,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,1077,37
PizzaCutter1,Default,0.0013105149799999,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,661,37
PizzaCutter1,Optimal,0.0013457724999999,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,661,37
PizzaCutter3,Default,0.00179921836,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,1043,37
PizzaCutter3,Optimal,0.0018135875,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,1043,37
analcatdata_apnea1,Default,0.095668265,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,475,3
analcatdata_apnea1,Optimal,0.02299109744,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,475,3
analcatdata_apnea2,Default,0.08851612174,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,475,3
analcatdata_apnea2,Optimal,0.02251686088,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,475,3
analcatdata_apnea3,Default,0.0878831841399999,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,450,3
analcatdata_apnea3,Optimal,0.021698065,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,450,3
analcatdata_challenger,Default,0.0005877174999999,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,138,2
analcatdata_challenger,Optimal,0.00052702744,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,138,2
analcatdata_chlamydia,Default,0.02127001996,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,100,3
analcatdata_chlamydia,Optimal,0.0048267174999999,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,100,3
analcatdata_lawsuit,Default,0.00054321822,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,264,4
analcatdata_lawsuit,Optimal,0.00056502418,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,264,4
analcatdata_neavote,Default,0.00056008754,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,100,3
analcatdata_neavote,Optimal,0.00053048084,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,100,3
annthyroid,Default,0.16783333088,6,0.0008333333333333,3,1.6742857142857144,0.0002325396825396,0.0009000900090009,0.0,0.0002511679739402,0.0,7200,6
annthyroid,Optimal,0.01601247916,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,7200,6
