Filename,Mode,MatvR_Min,MatvR_Max,RvSk_Min,RvSk_Max,MatvSk_Min,MatvSk_Max,Row,Column,,
CastMetal1,Default,0.018348624,0.03058104,0.012232416,0.04587156,0,0.039755352,327,37,-0.008048549,-0.320419023
CastMetal1,Mod,0.018348624,0.024464832,0.01529052,0.03058104,0,0.01529052,327,37,,
CostaMadre1,Default,0.016891892,0.030405405,0.006756757,0.047297297,0.003378378,0.043918919,296,37,-0.123954139,-0.452254965
CostaMadre1,Mod,0.023648649,0.030405405,0.010135135,0.040540541,0,0.033783784,296,37,,
KnuggetChase3,Default,0,0.030927835,0.010309278,0.051546392,0,0.06185567,194,39,-0.193492709,-0.470341919
KnuggetChase3,Mod,0.010309278,0.025773196,0.015463918,0.041237113,0.005154639,0.036082474,194,39,,
KungChi3,Default,0,0.040650407,0.016260163,0.073170732,0,0.081300813,123,39,,
KungChi3,Mod,0.032520325,0.056910569,0.016260163,0.040650407,0,0.040650407,123,39,,
MeanWhile1,Default,0.011857708,0.04743083,0.007905138,0.051383399,0.003952569,0.067193676,253,37,,
MeanWhile1,Mod,0.019762846,0.031620553,0.007905138,0.031620553,0,0.039525692,253,37,,
MegaWatt1,Default,0.011857708,0.031620553,0.011857708,0.04743083,0,0.059288538,253,37,,
MegaWatt1,Mod,0.023715415,0.031620553,0.011857708,0.035573123,0,0.043478261,253,37,,
PieChart1,Default,0.053900709,0.059574468,0.034042553,0.066666667,0.002836879,0.028368794,705,37,,
PieChart1,Mod,0.04822695,0.05248227,0.041134752,0.062411348,0.00141844,0.015602837,705,37,,
PieChart2,Default,0.061744966,0.06442953,0.034899329,0.056375839,0.008053691,0.034899329,745,36,,
PieChart2,Mod,0.040268456,0.04295302,0.033557047,0.046979866,0,0.014765101,745,36,,
PieChart3,Default,0.061281337,0.064995357,0.034354689,0.065923863,0.008356546,0.028783658,1077,37,,
PieChart3,Mod,0.048282266,0.051067781,0.042711235,0.056638812,0,0.014856082,1077,37,,
PizzaCutter1,Default,0.049924357,0.052950076,0.030257186,0.060514372,0.003025719,0.027231467,661,37,,
PizzaCutter1,Mod,0.046898638,0.049924357,0.036308623,0.055975794,0.001512859,0.018154312,661,37,,
