Filename,Mode,MatvR,MatvR_Percentage,RvSk,RvSk_Percentage,MatvSk,MatvSk_Percentage,r_tp_m_fn,r_tp_m_fn_per,r_tn_m_fp,r_tn_m_fp_per,m_tp_r_fn,m_tp_r_fn_per,m_tn_r_fp,m_tn_r_fp_per,s_tp_r_fn,s_tp_r_fn_per,s_tn_r_fp,s_tn_r_fp_per,r_tp_s_fn,r_tp_s_fn_per,r_tn_s_fp,r_tn_s_fp_per,s_tp_m_fn,s_tp_m_fn_per,s_tn_m_fp,s_tn_m_fp_per,m_tp_s_fn,m_tp_s_fn_per,m_tn_s_fp,m_tn_s_fp_per,Row,Column
CastMetal1,Default,43,0.1314984709480122,184,0.5626911314984709,151,0.4617737003058104,23,0.0861423220973782,2,0.5,14,0.0542635658914728,4,0.6666666666666666,18,0.1276595744680851,18,1.0,144,0.5393258426966292,4,1.0,8,0.0567375886524822,16,0.8888888888888888,124,0.4824902723735408,3,0.6,327,37
CastMetal1,Mod,262,0.8012232415902141,226,0.691131498470948,88,0.2691131498470948,1,0.037037037037037,32,0.8888888888888888,229,0.8980392156862745,0,0.0,189,0.8957345971563981,3,0.3,5,0.1851851851851851,29,0.8055555555555556,15,0.0710900473933649,10,1.0,59,0.2313725490196078,4,1.0,327,37
CostaMadre1,Default,265,0.8952702702702703,149,0.5033783783783784,140,0.4729729729729729,0,0.0,36,0.9473684210526316,229,0.9956521739130436,0,0.0,126,1.0,0,0.0,1,1.0,22,0.5789473684210527,9,0.0714285714285714,13,0.8125,116,0.4978540772532189,2,0.4,296,37
CostaMadre1,Mod,236,0.7972972972972973,192,0.6486486486486487,96,0.3243243243243243,0,0.0,27,0.8181818181818182,209,0.8931623931623932,0,0.0,160,0.903954802259887,1,0.0909090909090909,8,0.32,23,0.696969696969697,14,0.0790960451977401,8,0.7272727272727273,71,0.3034188034188034,3,0.5,296,37
KnuggetChase3,Default,173,0.8917525773195877,99,0.5103092783505154,90,0.4639175257731959,0,0.0,32,0.9142857142857144,141,0.9929577464788732,0,0.0,79,1.0,1,0.0555555555555555,1,1.0,18,0.5142857142857142,4,0.050632911392405,16,0.8888888888888888,68,0.4755244755244755,2,0.5,194,39
KnuggetChase3,Mod,143,0.7371134020618557,90,0.4639175257731959,97,0.5,0,0.0,24,0.8571428571428571,119,0.8686131386861314,0,0.0,62,0.9117647058823528,3,0.1666666666666666,12,0.6666666666666666,13,0.4642857142857143,4,0.0588235294117647,15,0.8333333333333334,75,0.539568345323741,3,0.5,194,39
KungChi3,Default,111,0.902439024390244,62,0.5040650406504065,53,0.4308943089430894,0,0.0,15,0.9375,96,1.0,0,0.0,54,1.0,0,0.0,0,0.0,8,0.5,2,0.037037037037037,7,0.875,44,0.4583333333333333,0,0.0,123,39
KungChi3,Mod,88,0.7154471544715447,52,0.4227642276422764,64,0.5203252032520326,0,0.0,9,0.9,79,0.8586956521739131,0,0.0,38,0.8837209302325582,4,0.3333333333333333,8,0.6153846153846154,2,0.2,2,0.0465116279069767,8,0.6666666666666666,54,0.5684210526315789,0,0.0,123,39
MeanWhile1,Default,91,0.3596837944664031,187,0.7391304347826086,116,0.458498023715415,11,0.0797101449275362,6,1.0,74,0.3681592039800995,0,0.0,73,0.6293103448275862,15,0.8823529411764706,95,0.6884057971014492,4,0.6666666666666666,6,0.0517241379310344,16,0.9411764705882352,93,0.458128078817734,1,0.5,253,37
MeanWhile1,Mod,197,0.7786561264822134,162,0.6403162055335968,87,0.3438735177865613,0,0.0,22,0.9565217391304348,175,0.8793969849246231,0,0.0,134,0.9241379310344828,0,0.0,13,0.5416666666666666,15,0.6521739130434783,12,0.0827586206896551,8,1.0,66,0.3316582914572864,1,1.0,253,37
MegaWatt1,Default,91,0.3596837944664031,187,0.7391304347826086,114,0.4505928853754941,11,0.0797101449275362,5,0.8333333333333334,75,0.3712871287128713,0,0.0,73,0.6293103448275862,15,0.8823529411764706,95,0.6884057971014492,4,0.6666666666666666,5,0.043103448275862,14,0.8235294117647058,94,0.4585365853658537,1,0.25,253,37
MegaWatt1,Mod,197,0.7786561264822134,179,0.7075098814229249,66,0.2608695652173913,0,0.0,17,0.7727272727272727,180,0.8780487804878049,0,0.0,156,0.8914285714285715,2,0.2222222222222222,6,0.24,15,0.6818181818181818,14,0.08,7,0.7777777777777778,43,0.2107843137254902,2,0.5,253,37
