Filename,Mode,MatvSk_Min,MatvSk_Max,s_tp_m_fn_per_min,s_tp_m_fn_avg,s_tp_m_fn_per_max,s_tn_m_fp_per_min,s_tn_m_fp_avg,s_tn_m_fp_per_max,m_tp_s_fn_per_min,m_tp_s_fn_avg,m_tp_s_fn_per_max,m_tn_s_fp_per_min,m_tn_s_fp_avg,m_tn_s_fp_per_max,Row,Column
CastMetal1,Default,0.1009174311926605,0.1009174311926605,0.0,0.0,0.0,1.0,100.00000000000004,1.0,0.087719298245614,8.464896972715811,0.087719298245614,0.0,0.0,0.0,327,37
CostaMadre1,Default,0.1013513513513513,0.1013513513513513,0.0,0.0,0.0,1.0,100.00000000000004,1.0,0.0852713178294573,8.398566023008046,0.0852713178294573,0.0,0.0,0.0,296,37
KnuggetChase3,Default,0.1030927835051546,0.1030927835051546,0.0,0.0,0.0,1.0,100.00000000000004,1.0,0.0759493670886076,7.538788228465775,0.0759493670886076,0.0,0.0,0.0,194,39
KungChi3,Default,0.1056910569105691,0.1056910569105691,0.0,0.0,0.0,1.0,100.00000000000004,1.0,0.0747663551401869,7.929525251685627,0.0747663551401869,0.0,0.0,0.0,123,39
MeanWhile1,Default,0.1027667984189723,0.1027667984189723,0.0,0.0,0.0,1.0,100.00000000000004,1.0,0.1061946902654867,10.257576962376575,0.1061946902654867,0.0,0.0,0.0,253,37
MegaWatt1,Default,0.1027667984189723,0.1027667984189723,0.0,0.0,0.0,1.0,100.00000000000004,1.0,0.1017699115044247,10.30285098542796,0.1017699115044247,0.0,0.0,0.0,253,37
PieChart1,Default,0.100709219858156,0.100709219858156,0.0,0.0,0.0,1.0,100.00000000000004,1.0,0.0822981366459627,8.426882614879238,0.0822981366459627,0.0,0.0,0.0,705,37
PieChart2,Default,0.1006711409395973,0.1006711409395973,0.0,0.0,0.0,1.0,100.00000000000004,1.0,0.0960219478737997,9.510612658853375,0.0960219478737997,0.0,0.0,0.0,745,36
PieChart3,Default,0.1002785515320334,0.1002785515320334,0.0,0.0,0.0,1.0,100.00000000000004,1.0,0.0933191940615058,9.207668446479564,0.0933191940615058,0.0,0.0,0.0,1077,37
PizzaCutter1,Default,0.0998487140695915,0.1013615733736762,0.0,0.0,0.0,1.0,100.00000000000004,1.0,0.083743842364532,8.309070337237763,0.083743842364532,0.0,0.0,0.0,661,37
PizzaCutter3,Default,0.1006711409395973,0.1006711409395973,0.0,0.0,0.0,1.0,100.00000000000004,1.0,0.0906113537117904,9.202609238726575,0.0906113537117904,0.0,0.0,0.0,1043,37
analcatdata_apnea1,Default,0.1010526315789473,0.1010526315789473,0.0,0.0,0.0,1.0,100.00000000000004,1.0,0.0917874396135265,9.178743961352668,0.0917874396135265,0.0,0.0,0.0,475,3
analcatdata_apnea2,Default,0.1010526315789473,0.1010526315789473,0.0,0.0,0.0,1.0,100.00000000000004,1.0,0.0924574209245742,9.245742092457418,0.0924574209245742,0.0,0.0,0.0,475,3
analcatdata_apnea3,Default,0.0888888888888888,0.0888888888888888,0.0,0.0,0.0,1.0,100.00000000000004,1.0,0.0810126582278481,8.101265822784809,0.0810126582278481,0.0,0.0,0.0,450,3
analcatdata_challenger,Default,0.1304347826086956,0.1304347826086956,0.0,0.0,0.0,1.0,100.00000000000004,1.0,0.1085271317829457,10.852713178294568,0.1085271317829457,0.0,0.0,0.0,138,2
analcatdata_chlamydia,Default,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0987654320987654,9.876543209876548,0.0987654320987654,0.0,0.0,0.0,100,3
analcatdata_lawsuit,Default,0.1022727272727272,0.1022727272727272,0.0,0.0,0.0,1.0,100.00000000000004,1.0,0.1061224489795918,10.61224489795918,0.1061224489795918,0.0,0.0,0.0,264,4
analcatdata_neavote,Default,0.1,0.1,0.0,0.0,0.0,1.0,100.00000000000004,1.0,0.0967741935483871,9.67741935483872,0.0967741935483871,0.0,0.0,0.0,100,3
annthyroid,Default,0.1781944444444444,0.1788888888888888,0.1711624919717405,17.147975277286065,0.1719653179190751,0.0,0.0,0.0,0.0,0.0,0.0,0.4348697394789579,43.50677482477113,0.4348697394789579,7200,6
appendicitis,Default,0.3490566037735849,0.3584905660377358,0.3291139240506329,33.88344522750653,0.3417721518987341,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,69.68552514219897,0.6875,106,7
ar1,Default,0.0991735537190082,0.1074380165289256,0.0,0.0,0.0,1.0,100.00000000000004,1.0,0.0982142857142857,9.519362432986252,0.0892857142857142,0.0,0.0,0.0,121,29
ar3,Default,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,1.0,100.00000000000004,1.0,0.0363636363636363,4.371798858682005,0.0363636363636363,0.0,0.0,0.0,63,29
ar4,Default,0.102803738317757,0.102803738317757,0.0,0.0,0.0,1.0,100.00000000000004,1.0,0.0344827586206896,4.363425442605581,0.0344827586206896,0.0,0.0,0.0,107,29
ar6,Default,0.099009900990099,0.1089108910891089,0.0,0.0,0.0,1.0,100.00000000000004,1.0,0.0697674418604651,6.885874620410649,0.0813953488372093,0.0,0.0,0.0,101,29
arsenic-female-bladder,Default,0.1305903398926654,0.1305903398926654,0.1428571428571428,14.285714285714278,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,35.71428571428574,0.3571428571428571,559,4
arsenic-female-lung,Default,0.1305903398926654,0.1305903398926654,0.1442885771543086,14.428857715430858,0.1442885771543086,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,6.25,0.0625,559,4
arsenic-male-bladder,Default,0.1645796064400715,0.1753130590339892,0.1808943089430894,18.57258571847905,0.1930894308943089,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,18.75000000000001,0.1875,559,4
