Filename,Mode,MatvR,MatvR_Percentage,RvSk,RvSk_Percentage,MatvSk,MatvSk_Percentage,r_tp_m_fn,r_tp_m_fn_per,r_tn_m_fp,r_tn_m_fp_per,m_tp_r_fn,m_tp_r_fn_per,m_tn_r_fp,m_tn_r_fp_per,s_tp_r_fn,s_tp_r_fn_per,s_tn_r_fp,s_tn_r_fp_per,r_tp_s_fn,r_tp_s_fn_per,r_tn_s_fp,r_tn_s_fp_per,s_tp_m_fn,s_tp_m_fn_per,s_tn_m_fp,s_tn_m_fp_per,m_tp_s_fn,m_tp_s_fn_per,m_tn_s_fp,m_tn_s_fp_per,Row,Column
ar3,Default,24,0.380952381,21,0.333333333,3,0.047619048,0,0.0,2,0.25,22,0.55,0,0.0,19,0.513513514,0,0.0,0,0.0,2,0.25,0,0.0,0,0.0,3,0.075,0,0.0,63,29
ar3,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,63,29
ar4,Default,78,0.728971963,71,0.663551402,7,0.065420561,0,0.0,12,0.6,66,0.785714286,0,0.0,61,0.772151899,0,0.0,0,0.0,10,0.5,0,0.0,2,0.2,5,0.05952381,0,0.0,107,29
ar4,Mod,1,0.009345794,1,0.009345794,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,107,29
ar6,Default,68,0.673267327,47,0.465346535,21,0.207920792,0,0.0,9,0.6,59,0.786666667,0,0.0,42,0.724137931,0,0.0,0,0.0,5,0.333333333,0,0.0,4,0.4,17,0.226666667,0,0.0,101,29
ar6,Mod,2,0.01980198,2,0.01980198,0,0.0,2,0.033333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.033333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,101,29
arsenic-female-bladder,Default,372,0.665474061,360,0.644007156,12,0.021466905,0,0.0,43,0.754385965,329,0.701492537,0,0.0,319,0.694989107,0,0.0,0,0.0,41,0.719298246,0,0.0,2,0.125,10,0.021321962,0,0.0,559,4
arsenic-female-bladder,Mod,1,0.001788909,1,0.001788909,0,0.0,0,0.0,0,0.0,1,0.002178649,0,0.0,1,0.002178649,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,559,4
arsenic-female-lung,Default,372,0.665474061,360,0.644007156,12,0.021466905,0,0.0,5,0.263157895,367,0.69245283,0,0.0,356,0.685934489,0,0.0,0,0.0,4,0.210526316,0,0.0,1,0.066666667,11,0.020754717,0,0.0,559,4
arsenic-female-lung,Mod,1,0.001788909,1,0.001788909,0,0.0,0,0.0,0,0.0,1,0.001926782,0,0.0,1,0.001926782,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,559,4
arsenic-male-bladder,Default,362,0.647584973,349,0.624329159,13,0.023255814,0,0.0,8,0.380952381,354,0.666666667,0,0.0,342,0.658959538,0,0.0,0,0.0,7,0.333333333,0,0.0,1,0.071428571,12,0.02259887,0,0.0,559,4
arsenic-male-bladder,Mod,1,0.001788909,1,0.001788909,0,0.0,0,0.0,0,0.0,1,0.001926782,0,0.0,1,0.001926782,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,559,4
arsenic-male-lung,Default,362,0.647584973,349,0.624329159,13,0.023255814,0,0.0,0,0.0,362,0.667896679,0,0.0,349,0.65973535,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,0.02398524,0,0.0,559,4
arsenic-male-lung,Mod,1,0.001788909,1,0.001788909,0,0.0,0,0.0,0,0.0,1,0.001890359,0,0.0,1,0.001890359,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,559,4
backache,Default,127,0.705555556,123,0.683333333,4,0.022222222,0,0.0,19,1.0,108,0.696774194,0,0.0,107,0.694805195,0,0.0,0,0.0,16,0.842105263,0,0.0,3,1.0,1,0.006451613,0,0.0,180,31
backache,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,180,31
breastw,Default,379,0.554904832,320,0.46852123,59,0.086383602,0,0.0,184,0.983957219,195,0.578635015,0,0.0,146,0.506944444,0,0.0,0,0.0,174,0.930481283,0,0.0,10,0.769230769,49,0.145400593,0,0.0,683,9
breastw,Mod,60,0.087847731,74,0.108345534,20,0.029282577,1,0.004347826,1,0.076923077,58,0.202090592,0,0.0,66,0.229166667,0,0.0,8,0.034782609,0,0.0,10,0.034722222,1,0.076923077,9,0.031358885,0,0.0,683,9
cardio,Default,1539,0.840524304,1508,0.823593665,31,0.016930639,0,0.0,140,0.95890411,1399,0.846339988,0,0.0,1371,0.843692308,0,0.0,0,0.0,137,0.938356164,0,0.0,3,0.333333333,28,0.016938899,0,0.0,1831,21
cardio,Mod,2,0.001092299,2,0.001092299,0,0.0,2,0.001229256,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.001229256,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1831,21
climate-model-simulation-crashes,Default,309,0.572222222,309,0.572222222,0,0.0,0,0.0,27,1.0,282,0.570850202,0,0.0,282,0.570850202,0,0.0,0,0.0,27,1.0,0,0.0,0,0.0,0,0.0,0,0.0,540,21
climate-model-simulation-crashes,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,540,21
datatrieve,Default,90,0.692307692,85,0.653846154,5,0.038461538,0,0.0,8,0.888888889,82,0.694915254,0,0.0,77,0.681415929,0,0.0,0,0.0,8,0.888888889,0,0.0,0,0.0,5,0.042372881,0,0.0,130,8
datatrieve,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,130,8
fertility,Default,67,0.67,67,0.67,0,0.0,0,0.0,10,1.0,57,0.647727273,0,0.0,57,0.647727273,0,0.0,0,0.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0,100,9
fertility,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100,9
flare,Default,295,0.27673546,271,0.254221388,42,0.039399625,20,0.04,86,0.74137931,189,0.282511211,0,0.0,190,0.275362319,0,0.0,0,0.0,81,0.698275862,29,0.042028986,5,0.142857143,8,0.011958146,0,0.0,1066,10
flare,Mod,33,0.030956848,24,0.022514071,33,0.030956848,21,0.031296572,1,0.026315789,11,0.016641452,0,0.0,20,0.028985507,0,0.0,1,0.001490313,3,0.078947368,30,0.043478261,0,0.0,1,0.001512859,2,0.054054054,1066,10
glass,Default,156,0.728971963,132,0.61682243,24,0.112149533,0,0.0,7,0.777777778,149,0.768041237,0,0.0,129,0.74137931,0,0.0,0,0.0,3,0.333333333,0,0.0,4,0.666666667,20,0.103092784,0,0.0,214,9
glass,Mod,8,0.037383178,8,0.037383178,0,0.0,4,0.022857143,0,0.0,3,0.017241379,1,0.166666667,3,0.017241379,1,0.166666667,4,0.022857143,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,214,9
ionosphere,Default,232,0.660968661,195,0.555555556,37,0.105413105,0,0.0,50,0.396825397,182,0.842592593,0,0.0,165,0.829145729,0,0.0,0,0.0,30,0.238095238,0,0.0,20,0.208333333,17,0.078703704,0,0.0,351,33
ionosphere,Mod,1,0.002849003,1,0.002849003,0,0.0,1,0.005,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.005,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,351,33
kc3,Default,269,0.587336245,245,0.534934498,26,0.056768559,0,0.0,35,0.945945946,234,0.615789474,0,0.0,217,0.597796143,0,0.0,0,0.0,28,0.756756757,1,0.002754821,7,0.777777778,18,0.047368421,0,0.0,458,39
kc3,Mod,8,0.017467249,8,0.017467249,8,0.017467249,5,0.01396648,1,0.1,2,0.005633803,0,0.0,6,0.016528926,0,0.0,1,0.002793296,1,0.1,8,0.022038567,0,0.0,0,0.0,0,0.0,458,39
letter,Default,1225,0.765625,1217,0.760625,8,0.005,0,0.0,99,0.99,1126,0.750666667,0,0.0,1125,0.750500334,0,0.0,0,0.0,92,0.92,0,0.0,7,0.875,1,0.000666667,0,0.0,1600,32
letter,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1600,32
lungcancer_GSE31210,Default,161,0.712389381,155,0.685840708,6,0.026548673,0,0.0,33,1.0,128,0.680851064,0,0.0,125,0.675675676,0,0.0,0,0.0,30,0.909090909,0,0.0,3,1.0,3,0.015957447,0,0.0,226,23
lungcancer_GSE31210,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,226,23
lympho,Default,100,0.675675676,100,0.675675676,0,0.0,0,0.0,6,1.0,94,0.661971831,0,0.0,94,0.661971831,0,0.0,0,0.0,6,1.0,0,0.0,0,0.0,0,0.0,0,0.0,148,18
lympho,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,148,18
mw1,Default,271,0.672456576,268,0.665012407,3,0.007444169,0,0.0,26,0.928571429,245,0.671232877,0,0.0,242,0.668508287,0,0.0,0,0.0,26,0.928571429,0,0.0,0,0.0,3,0.008219178,0,0.0,403,37
mw1,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,403,37
optdigits,Default,4007,0.76821319,3998,0.76648773,9,0.00172546,0,0.0,117,1.0,3890,0.767864193,0,0.0,3884,0.767588933,0,0.0,0,0.0,114,0.974358974,0,0.0,3,1.0,6,0.001184366,0,0.0,5216,64
