Filename,Mode,MatvR_Min,MatvR_Max,RvSk_Min,RvSk_Max,MatvSk_Min,MatvSk_Max,r_tp_m_fn_per_min,r_tp_m_fn_avg,r_tp_m_fn_per_max,r_tn_m_fp_per_min,r_tn_m_fp_avg,r_tn_m_fp_per_max,m_tp_r_fn_per_min,m_tp_r_fn_avg,m_tp_r_fn_per_max,m_tn_r_fp_per_min,m_tn_r_fp_avg,m_tn_r_fp_per_max,s_tp_r_fn_per_min,s_tp_r_fn_per_max,s_tn_r_fp_per_min,s_tn_r_fp_per_max,r_tp_s_fn_per_min,r_tp_s_fn_per_max,r_tn_s_fp_per_min,r_tn_s_fp_per_max,s_tp_m_fn_per_min,s_tp_m_fn_avg,s_tp_m_fn_per_max,s_tn_m_fp_per_min,s_tn_m_fp_avg,s_tn_m_fp_per_max,m_tp_s_fn_per_min,m_tp_s_fn_avg,m_tp_s_fn_per_max,m_tn_s_fp_per_min,m_tn_s_fp_avg,m_tn_s_fp_per_max,Row,Column
CastMetal1,Default,0.1314984709480122,0.1681957186544342,0.5626911314984709,0.5626911314984709,0.4617737003058104,0.5290519877675841,0.0861423220973782,10.068891415133224,0.1123595505617977,0.5,89.54707682983235,1.0,0.0542635658914728,6.368312140148328,0.0705882352941176,0.6666666666666666,92.22339072710136,1.0,0.1276595744680851,0.1276595744680851,1.0,1.0,0.5393258426966292,0.5393258426966292,1.0,1.0,0.0567375886524822,9.952862785916336,0.1276595744680851,0.8888888888888888,88.66346543404978,1.0,0.4824902723735408,50.56048226669712,0.51953125,0.6,31.490878707456083,1.0,327,37
CastMetal1,Mod,0.8012232415902141,0.8318042813455657,0.691131498470948,0.691131498470948,0.2691131498470948,0.3363914373088685,0.037037037037037,9.268389738078094,0.1481481481481481,0.8888888888888888,89.2297484047073,0.8888888888888888,0.8980392156862745,90.55927001329724,0.9105058365758756,0.0,5.178106048415903,0.3333333333333333,0.8957345971563981,0.8957345971563981,0.3,0.3,0.1851851851851851,0.1851851851851851,0.8055555555555556,0.8055555555555556,0.0710900473933649,10.450046396110409,0.1232227488151658,1.0,88.60535495195035,0.9,0.2313725490196078,26.088523937587983,0.27734375,1.0,75.11211234744033,0.8,327,37
CostaMadre1,Default,0.8952702702702703,0.902027027027027,0.5033783783783784,0.5033783783783784,0.4729729729729729,0.5405405405405406,0.0,0.2027430470140261,1.0,0.9473684210526316,90.82496073291315,0.8421052631578947,0.9956521739130436,99.585103823831,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5789473684210527,0.5789473684210527,0.0714285714285714,10.220156520816936,0.1507936507936507,0.8125,91.06938868140053,1.0,0.4978540772532189,51.201435225956935,0.5347826086956522,0.4,35.45849204476072,1.0,296,37
CostaMadre1,Mod,0.7972972972972973,0.8513513513513513,0.6486486486486487,0.6486486486486487,0.3243243243243243,0.3783783783783784,0.0,7.947568977570695,0.24,0.8181818181818182,89.36526858129307,0.9090909090909092,0.8931623931623932,90.28756679899791,0.9184549356223176,0.0,2.467121943706215,0.4,0.903954802259887,0.903954802259887,0.0909090909090909,0.0909090909090909,0.32,0.32,0.696969696969697,0.696969696969697,0.0790960451977401,10.161915994870135,0.135593220338983,0.7272727272727273,91.95993050194606,1.0,0.3034188034188034,31.48411603008904,0.3318777292576419,0.5,71.57906835170498,1.0,296,37
KnuggetChase3,Default,0.8917525773195877,0.9020618556701032,0.5103092783505154,0.5103092783505154,0.4639175257731959,0.5670103092783505,0.0,0.2027430470140261,1.0,0.9142857142857144,88.92982968711947,0.8571428571428571,0.9929577464788732,99.32781958044852,1.0,0.0,0.2107188937792661,0.0,1.0,1.0,0.0555555555555555,0.0555555555555555,1.0,1.0,0.5142857142857142,0.5142857142857142,0.050632911392405,9.54898048804824,0.189873417721519,0.8888888888888888,91.0302737784389,1.0,0.4755244755244755,50.11513926017655,0.5428571428571428,0.5,49.3420823753662,1.0,194,39
KnuggetChase3,Mod,0.7371134020618557,0.8092783505154639,0.4639175257731959,0.4639175257731959,0.5,0.5927835051546392,0.0,10.707284271066971,0.2222222222222222,0.8571428571428571,87.71393987728284,0.8214285714285714,0.8686131386861314,88.75212483568879,0.900709219858156,0.0,12.87938443849542,0.375,0.9117647058823528,0.9117647058823528,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.6666666666666666,0.4642857142857143,0.4642857142857143,0.0588235294117647,12.242405100203658,0.1764705882352941,0.8333333333333334,86.94911219025576,0.9444444444444444,0.539568345323741,56.787529181682594,0.5942028985507246,0.5,37.43537721257422,0.8,194,39
KungChi3,Default,0.902439024390244,0.902439024390244,0.5040650406504065,0.5040650406504065,0.4308943089430894,0.5447154471544715,0.0,0.0,0.0,0.9375,90.45098244209318,0.9375,1.0,100.00000000000004,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.037037037037037,9.374846124906329,0.1111111111111111,0.875,88.77052112210902,1.0,0.4583333333333333,49.49568289540418,0.5102040816326531,0.0,5.565172453893073,1.0,123,39
KungChi3,Mod,0.7154471544715447,0.7967479674796748,0.4227642276422764,0.4227642276422764,0.5203252032520326,0.6504065040650406,0.0,10.194207149397055,0.3076923076923077,0.9,89.37475427051301,1.0,0.8586956521739131,87.97672084123757,0.9021739130434784,0.0,10.78324045505823,1.0,0.8837209302325582,0.8837209302325582,0.3333333333333333,0.3333333333333333,0.6153846153846154,0.6153846153846154,0.2,0.2,0.0465116279069767,12.743502403659203,0.2325581395348837,0.6666666666666666,85.88601024425749,0.9166666666666666,0.5684210526315789,59.88763266951372,0.6413043478260869,0.0,1.365791856079805,0.0,123,39
MeanWhile1,Default,0.3596837944664031,0.4466403162055335,0.7391304347826086,0.7391304347826086,0.458498023715415,0.5691699604743083,0.0797101449275362,9.368819328939365,0.144927536231884,1.0,92.14671677126177,1.0,0.3681592039800995,38.622647591954205,0.4187192118226601,0.0,46.779778615729896,1.0,0.6293103448275862,0.6293103448275862,0.8823529411764706,0.8823529411764706,0.6884057971014492,0.6884057971014492,0.6666666666666666,0.6666666666666666,0.0517241379310344,10.127892846519154,0.1551724137931034,0.9411764705882352,90.67723185804564,1.0,0.458128078817734,48.89543405839947,0.5196078431372549,0.5,14.93464226469002,1.0,253,37
MeanWhile1,Mod,0.7786561264822134,0.8260869565217391,0.6403162055335968,0.6403162055335968,0.3438735177865613,0.4229249011857707,0.0,8.12541188588285,0.1666666666666666,0.9565217391304348,88.68464360792898,0.9130434782608696,0.8793969849246231,89.1952081860376,0.900990099009901,0.0,2.923884221449419,0.5,0.9241379310344828,0.9241379310344828,0.0,0.0,0.5416666666666666,0.5416666666666666,0.6521739130434783,0.6521739130434783,0.0827586206896551,11.008652122081577,0.1310344827586207,1.0,89.46769907170376,1.0,0.3316582914572864,35.90175715902171,0.3762376237623762,1.0,47.22998836657139,1.0,253,37
MegaWatt1,Default,0.3596837944664031,0.4387351778656126,0.7391304347826086,0.7391304347826086,0.4505928853754941,0.5375494071146245,0.0797101449275362,9.784771105809774,0.1304347826086956,0.8333333333333334,91.55091457514015,0.8333333333333334,0.3712871287128713,38.9075359685275,0.4146341463414634,0.0,33.9938404356451,0.75,0.6293103448275862,0.6293103448275862,0.8823529411764706,0.8823529411764706,0.6884057971014492,0.6884057971014492,0.6666666666666666,0.6666666666666666,0.043103448275862,9.625290982752905,0.1379310344827586,0.8235294117647058,89.73694764363705,1.0,0.4585365853658537,48.594226610132544,0.504950495049505,0.25,11.898661334372656,1.0,253,37
