Filename,Mode,AvgTimeElapsed,Flipped,FlippedPercentage,RunNumber50p,AvgFlippedPerRun,AvgFlippedPerRunPercentage,ti_fo_per_all,to_fi_per_all,ti_fo_per_avg,to_fi_per_avg,Row,Column
CastMetal1,Default,0.2926691516399999,20,0.0611620795107033,1,4.455510204081633,0.0136254134681395,0.0526315789473684,0.119047619047619,0.0121962047977085,0.0233236151603498,327,37
CostaMadre1,Default,0.28183492422,18,0.0608108108108108,1,4.511020408163265,0.0152399338113623,0.0581395348837209,0.0789473684210526,0.0122259136212624,0.035703544575725,296,37
KnuggetChase3,Default,0.20954536582,11,0.056701030927835,1,2.662857142857143,0.0137260677466863,0.0379746835443038,0.1388888888888889,0.0095634203048307,0.0319954648526077,194,39
KungChi3,Default,0.12510673832,9,0.073170731707317,1,2.462040816326531,0.0200165920026547,0.0467289719626168,0.25,0.0113980545489223,0.0776530612244898,123,39
MeanWhile1,Default,0.28134186082,19,0.075098814229249,1,5.476734693877551,0.0216471727030733,0.0619469026548672,0.1851851851851851,0.0194979230630305,0.0396371882086167,253,37
MegaWatt1,Default,0.28212236664,19,0.075098814229249,1,5.270204081632653,0.020830846172461,0.0619469026548672,0.1851851851851851,0.0180494852808379,0.0441118669690098,253,37
PieChart1,Default,0.29743327584,39,0.0553191489361702,1,10.045714285714286,0.0142492401215805,0.0512422360248447,0.0983606557377049,0.0143364177969324,0.0133288725326196,705,37
PieChart2,Default,0.3085789125399999,49,0.0657718120805369,1,12.419591836734694,0.0166705930694425,0.0617283950617283,0.25,0.0160174687158814,0.0464285714285714,745,36
PieChart3,Default,0.30456130002,59,0.0547818012999071,1,15.71265306122449,0.0145892786083792,0.0455991516436903,0.1194029850746268,0.0118873763715454,0.0336034115138592,1077,37
PizzaCutter1,Default,0.29840798832,32,0.048411497730711,1,8.62204081632653,0.0130439346691778,0.0443349753694581,0.0961538461538461,0.0106792667806038,0.0407378335949764,661,37
PizzaCutter3,Default,0.30391472248,60,0.0575263662511984,1,14.73469387755102,0.0141272232766548,0.046943231441048,0.1338582677165354,0.0122110328847696,0.0279479350795436,1043,37
analcatdata_apnea1,Default,0.31012123078,64,0.1347368421052631,1,10.813061224489797,0.0227643394199785,0.1304347826086956,0.1639344262295081,0.0209188602977422,0.0352893944463031,475,3
analcatdata_apnea2,Default,0.3090157183399999,70,0.1473684210526315,1,10.724897959183672,0.0225787325456498,0.1411192214111922,0.1875,0.0212701723024976,0.0309821428571428,475,3
analcatdata_apnea3,Default,0.3089879068,61,0.1355555555555555,1,9.255510204081633,0.0205678004535147,0.1265822784810126,0.2,0.0189119090674244,0.0324601113172541,450,3
analcatdata_challenger,Default,0.03577840418,18,0.1304347826086956,1,7.807346938775511,0.0565749778172138,0.1395348837209302,0.0,0.0605220692928334,0.0,138,2
analcatdata_chlamydia,Default,0.1037483709,16,0.16,1,3.004897959183673,0.0300489795918367,0.1851851851851851,0.0526315789473684,0.0366036785084404,0.0021052631578947,100,3
analcatdata_lawsuit,Default,0.29225787016,26,0.0984848484848484,1,8.438367346938776,0.0319635126777983,0.0857142857142857,0.2631578947368421,0.0298242399000416,0.0595488721804511,264,4
analcatdata_neavote,Default,0.10702694672,14,0.14,1,3.8424489795918366,0.0384244897959183,0.1290322580645161,0.2857142857142857,0.0380864603906078,0.0429154518950437,100,3
annthyroid,Default,0.38789397004,479,0.0665277777777777,1,126.0865306122449,0.0175120181405895,0.0589558955895589,0.1610486891385767,0.0153656998352896,0.0443048230528166,7200,6
appendicitis,Default,0.0947646366,6,0.0566037735849056,1,1.5281632653061223,0.0144166345783596,0.0588235294117647,0.0476190476190476,0.0125906362545018,0.0218075801749271,106,7
ar1,Default,0.1076231500199999,11,0.0909090909090909,1,2.4024489795918367,0.0198549502445606,0.0714285714285714,0.3333333333333333,0.0123469387755102,0.1132879818594104,121,29
