Filename,kernel,degree,gamma,coef0,tolerance,nu,shrinking,cachesize,epsilon
PieChart3,radial,3,scale,0,0.001,0.5,TRUE,200,0.1
PieChart3,radial,3,auto,0,0.001,0.084,TRUE,200,0.1
