Filename,Mode,AvgTimeElapsed,Flipped,FlippedPercentage,RunNumber50p,AvgFlippedPerRun,AvgFlippedPerRunPercentage
CastMetal1,Default,0.4228132599999663,28,0.0856269113149847,2,7.497142857142857,0.02292704237658366
CastMetal1,Optimal,0.41128803999999947,24,0.07339449541284404,3,7.080816326530612,0.02165387255819759
CastMetal1,Fast,0.3352408999999898,102,0.3119266055045872,13,20.96816326530612,0.06412282344130313
CostaMadre1,Default,0.3832745999999315,31,0.10472972972972973,2,7.151020408163265,0.0241588527302813
CostaMadre1,Optimal,0.3888083799999367,29,0.09797297297297297,8,6.2,0.020945945945945947
CostaMadre1,Fast,0.3246788999999262,127,0.42905405405405406,4,25.48081632653061,0.08608383894098179
KnuggetChase3,Default,0.382988800000021,11,0.05670103092783505,3,2.3085714285714287,0.011899852724594994
KnuggetChase3,Optimal,0.375395620000163,15,0.07731958762886598,8,2.633469387755102,0.013574584472964444
KnuggetChase3,Fast,0.3130281799997829,49,0.25257731958762886,8,9.18530612244898,0.0473469387755102
KungChi3,Default,0.2806191000000399,17,0.13821138211382114,1,5.324081632653061,0.04328521652563464
KungChi3,Optimal,0.2139322199999515,23,0.18699186991869918,2,6.316734693877551,0.05135556661689066
KungChi3,Fast,0.21715253999987907,27,0.21951219512195122,9,5.0416326530612245,0.04098888335822134
MeanWhile1,Default,0.33877403999991657,33,0.13043478260869565,2,9.320816326530613,0.03684117125110914
MeanWhile1,Optimal,0.3458258799999749,28,0.11067193675889328,2,6.811428571428571,0.026922642574816486
MeanWhile1,Fast,0.29890548000010314,75,0.2964426877470356,4,18.21387755102041,0.07199161087359846
MegaWatt1,Default,0.3486705600000278,29,0.11462450592885376,2,9.340408163265305,0.036918609340969584
MegaWatt1,Optimal,0.35072829999990063,22,0.08695652173913043,4,6.493061224489796,0.025664273614584173
MegaWatt1,Fast,0.2958938800001124,70,0.2766798418972332,5,18.10448979591837,0.07155924820521094
PieChart1,Default,4.454072759999981,73,0.10354609929078014,6,21.48081632653061,0.030469243016355476
PieChart1,Optimal,4.663433040000127,63,0.08936170212765958,3,13.095510204081632,0.018575191778839196
PieChart1,Fast,4.261611020000092,157,0.2226950354609929,6,34.50775510204082,0.048947170357504705
PieChart2,Default,4.395917559999943,86,0.11543624161073826,12,18.822857142857142,0.025265580057526365
PieChart2,Optimal,4.475694459999977,81,0.1087248322147651,17,13.738775510204082,0.01844130940966991
PieChart2,Fast,3.90287919999977,134,0.17986577181208055,11,26.28734693877551,0.03528502944802082
PieChart3,Default,5.356751139999833,95,0.0882079851439183,2,31.351836734693876,0.029110340515036096
PieChart3,Optimal,5.371349339999942,74,0.06870937790157845,7,18.457142857142856,0.017137551399389838
PieChart3,Fast,4.434778680000054,209,0.19405756731662024,10,40.02285714285714,0.037161427244992704
PizzaCutter1,Default,4.762173839999959,38,0.057488653555219364,6,8.681632653061225,0.013134088733829388
PizzaCutter1,Optimal,4.740814979999922,50,0.07564296520423601,5,9.335510204081633,0.014123313470622742
PizzaCutter1,Fast,4.139964820000059,152,0.22995461422087746,3,33.670204081632654,0.05093828151532928
PizzaCutter3,Default,5.063968599999971,60,0.05752636625119847,7,12.64326530612245,0.012122018510184516
PizzaCutter3,Optimal,5.047112640000014,47,0.045062320230105465,1,10.235102040816326,0.009813137143639813
PizzaCutter3,Fast,4.411985659999991,166,0.15915627996164908,6,33.06285714285714,0.031699767155184216
analcatdata_apnea1,Default,0.023627600000072562,0,0.0,-1,0,0
analcatdata_apnea1,Optimal,0.022821140000232845,0,0.0,-1,0,0
analcatdata_apnea1,Fast,0.017161299999970653,0,0.0,-1,0,0
analcatdata_apnea2,Default,0.020703099999846018,0,0.0,-1,0,0
analcatdata_apnea2,Optimal,0.02053009999992355,0,0.0,-1,0,0
analcatdata_apnea2,Fast,0.01692159999984142,0,0.0,-1,0,0
analcatdata_apnea3,Default,0.02059368000016548,0,0.0,-1,0,0
analcatdata_apnea3,Optimal,0.020337660000150207,0,0.0,-1,0,0
analcatdata_apnea3,Fast,0.016554880000076082,8,0.017777777777777778,9,0.6220408163265306,0.001382312925170068
analcatdata_challenger,Default,0.01672364000012749,0,0.0,-1,0,0
analcatdata_challenger,Optimal,0.016585140000097455,0,0.0,-1,0,0
analcatdata_challenger,Fast,0.011761339999902703,30,0.21739130434782608,2,12.303673469387755,0.08915705412599823
analcatdata_chlamydia,Default,0.014219480000101613,0,0.0,-1,0,0
analcatdata_chlamydia,Optimal,0.013949720000018715,0,0.0,-1,0,0
analcatdata_chlamydia,Fast,0.012998699999989184,20,0.2,7,2.6318367346938776,0.026318367346938775
analcatdata_lawsuit,Default,0.03221805999994103,0,0.0,-1,0,0
analcatdata_lawsuit,Optimal,0.030157660000149918,0,0.0,-1,0,0
analcatdata_lawsuit,Fast,0.016319839999887335,52,0.19696969696969696,6,10.413061224489796,0.03944341372912802
analcatdata_neavote,Default,0.01667418000011821,4,0.04,1,1.8938775510204082,0.018938775510204082
analcatdata_neavote,Optimal,0.016377879999927247,0,0.0,-1,0,0
analcatdata_neavote,Fast,0.011663860000007844,28,0.28,6,8.220408163265306,0.08220408163265307
