Filename,Mode,MatvR,MatvR_Percentage,RvSk,RvSk_Percentage,MatvSk,MatvSk_Percentage,r_tp_m_fn,r_tp_m_fn_per,r_tn_m_fp,r_tn_m_fp_per,m_tp_r_fn,m_tp_r_fn_per,m_tn_r_fp,m_tn_r_fp_per,s_tp_r_fn,s_tp_r_fn_per,s_tn_r_fp,s_tn_r_fp_per,r_tp_s_fn,r_tp_s_fn_per,r_tn_s_fp,r_tn_s_fp_per,s_tp_m_fn,s_tp_m_fn_per,s_tn_m_fp,s_tn_m_fp_per,m_tp_s_fn,m_tp_s_fn_per,m_tn_s_fp,m_tn_s_fp_per
CastMetal1,Default,6,0.01834862385321101,4,0.012232415902140673,0,0.0,3,0.011320754716981131,0,0.0,0,0.0,3,0.3333333333333333,1,0.0037593984962406013,3,0.3333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CastMetal1,Mod,6,0.01834862385321101,5,0.01529051987767584,0,0.0,3,0.011320754716981131,0,0.0,0,0.0,3,0.3333333333333333,0,0.0,4,0.4,1,0.0037735849056603774,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CostaMadre1,Default,5,0.016891891891891893,2,0.006756756756756757,1,0.0033783783783783786,3,0.012448132780082987,0,0.0,0,0.0,2,0.2222222222222222,1,0.004132231404958678,1,0.125,0,0.0,0,0.0,1,0.004201680672268907,0,0.0,0,0.0,0,0.0
CostaMadre1,Mod,7,0.02364864864864865,3,0.010135135135135136,0,0.0,3,0.012448132780082987,0,0.0,0,0.0,4,0.36363636363636365,0,0.0,2,0.2222222222222222,1,0.004149377593360996,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
KnuggetChase3,Default,0,0.0,2,0.010309278350515464,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
KnuggetChase3,Mod,2,0.010309278350515464,3,0.015463917525773196,1,0.005154639175257732,0,0.0,0,0.0,0,0.0,2,0.2222222222222222,0,0.0,3,0.2727272727272727,0,0.0,0,0.0,0,0.0,1,0.09090909090909091,0,0.0,0,0.0
KungChi3,Default,0,0.0,2,0.016260162601626018,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.16666666666666666,1,0.010101010101010102,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
KungChi3,Mod,4,0.032520325203252036,2,0.016260162601626018,0,0.0,2,0.020202020202020204,0,0.0,0,0.0,2,0.2857142857142857,0,0.0,1,0.16666666666666666,1,0.01,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
MeanWhile1,Default,3,0.011857707509881422,2,0.007905138339920948,1,0.003952569169960474,2,0.009478672985781991,0,0.0,0,0.0,1,0.14285714285714285,0,0.0,1,0.14285714285714285,1,0.004739336492890996,0,0.0,0,0.0,0,0.0,1,0.004830917874396135,0,0.0
MeanWhile1,Mod,5,0.019762845849802372,2,0.007905138339920948,0,0.0,4,0.018957345971563982,0,0.0,0,0.0,1,0.14285714285714285,0,0.0,1,0.14285714285714285,1,0.004739336492890996,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
