Filename,Mode,AvgTimeElapsed,Flipped,FlippedPercentage,RunNumber50p,AvgFlippedPerRun,AvgFlippedPerRunPercentage,ti_fo_per_all,to_fi_per_all,ti_fo_per_avg,to_fi_per_avg,ti_fo_all,to_fi_all,ti_fo_avg,to_fi_avg
glass,Default,0.0694848,15,0.070093458,1,3.371428571,0.015754339,0.068292683,0.111111111,0.013973121,0.056326531,2,0,2.864489796,0.506938776
glass,Optimal,0.07076212,16,0.074766355,1,3.011428571,0.014072096,0.073170732,0.111111111,0.012264808,0.055238095,2,0,2.514285714,0.497142857
glass,Fast,0.03625236,58,0.271028037,1,14.44571429,0.067503338,0.263414634,0.444444444,0.065620707,0.110385488,16,2,13.4522449,0.993469388
ionosphere,Default,0.07317738,53,0.150997151,1,14.21061224,0.040486075,0.146666667,0.158730159,0.044161451,0.033922902,8,5,9.936326531,4.274285714
ionosphere,Optimal,0.37187248,21,0.05982906,1,3.84244898,0.010947148,0.053333333,0.071428571,0.009890249,0.012834467,2,1,2.225306122,1.617142857
ionosphere,Fast,0.0376022,105,0.299145299,1,25.47510204,0.072578638,0.288888889,0.317460317,0.072939683,0.071933916,20,7,16.41142857,9.063673469
kc3,Default,0.07527552,44,0.096069869,1,9.387755102,0.020497282,0.091566265,0.139534884,0.019483649,0.030280019,8,1,8.085714286,1.302040816
kc3,Optimal,0.0749431,49,0.1069869,1,11.52,0.025152838,0.101204819,0.162790698,0.02359282,0.040208828,7,1,9.791020408,1.728979592
kc3,Fast,0.03787686,73,0.159388646,1,18.79183673,0.041030211,0.156626506,0.186046512,0.039976395,0.051200759,10,1,16.59020408,2.201632653
letter,Default,0.0784194,323,0.201875,1,73.57795918,0.045986224,0.191333333,0.36,0.043852517,0.077991837,51,3,65.77877551,7.799183673
letter,Optimal,0.40550684,81,0.050625,1,19.3877551,0.012117347,0.047333333,0.1,0.011208163,0.025755102,18,1,16.8122449,2.575510204
letter,Fast,0.03695418,998,0.62375,1,275.1314286,0.171957143,0.614666667,0.76,0.169961361,0.201893878,177,15,254.9420408,20.18938776
lungcancer,Default,0.076116,25,0.110619469,1,7.311836735,0.03235326,0.115183246,0.085714286,0.032943691,0.029131195,3,1,6.292244898,1.019591837
lungcancer,Optimal,0.0740013,25,0.110619469,1,6.804081633,0.030106556,0.115183246,0.085714286,0.030289561,0.029107872,4,1,5.785306122,1.01877551
lungcancer,Fast,0.03871238,65,0.287610619,1,14.42693878,0.063836012,0.272251309,0.371428571,0.063117854,0.067755102,11,2,12.0555102,2.371428571
lympho,Default,0.0718915,55,0.371621622,1,11.49959184,0.077699945,0.387323944,0,0.080983041,0,10,0,11.49959184,0
lympho,Optimal,0.35476068,12,0.081081081,1,2.286530612,0.015449531,0.084507042,0,0.016102328,0,3,0,2.286530612,0
lympho,Fast,0.03667642,83,0.560810811,1,23.85469388,0.161180364,0.584507042,0,0.167990802,0,25,0,23.85469388,0
mw1,Default,0.07492508,39,0.096774194,1,9.120816327,0.022632299,0.086021505,0.225806452,0.019343867,0.062093483,10,3,7.195918367,1.924897959
mw1,Optimal,0.07467404,44,0.109181141,1,11.89061224,0.029505241,0.115591398,0.032258065,0.030732938,0.014772877,9,1,11.43265306,0.457959184
mw1,Fast,0.03785894,78,0.193548387,1,19.01795918,0.047190966,0.188172043,0.258064516,0.047526882,0.043159974,4,1,17.68,1.337959184
optdigits,Default,0.11114956,2025,0.388228528,1,501.1012245,0.09607002,0.379786814,0.673333333,0.092758929,0.207896599,414,30,469.9167347,31.1844898
optdigits,Optimal,0.76419332,340,0.065184049,1,81.17714286,0.015563103,0.064942756,0.073333333,0.015446071,0.019515646,72,1,78.24979592,2.927346939
optdigits,Fast,0.06427928,3987,0.764378834,1,1140.683265,0.218689276,0.761152783,0.873333333,0.217634329,0.254318367,1019,41,1102.53551,38.1477551
pc1,Default,0.0868318,47,0.042380523,1,11.85061224,0.010685854,0.042635659,0.038961039,0.010236513,0.01670819,8,1,10.56408163,1.286530612
pc1,Optimal,0.4309492,16,0.014427412,1,3.905306122,0.003521466,0.013565891,0.025974026,0.003706692,0.001038961,1,0,3.825306122,0.08
pc1,Fast,0.04364434,119,0.107303877,1,28.30122449,0.025519589,0.101744186,0.181818182,0.023019301,0.05902995,19,4,23.75591837,4.545306122
pima,Default,0.07652532,123,0.16015625,1,33.08163265,0.043075043,0.112,0.25,0.030509388,0.066518428,14,16,15.25469388,17.82693878
pima,Optimal,0.38668602,57,0.07421875,1,14.49061224,0.018867985,0.056,0.108208955,0.012313469,0.031096558,3,7,6.156734694,8.333877551
pima,Fast,0.03747218,293,0.381510417,1,73.95510204,0.096295706,0.326,0.485074627,0.075433469,0.135217789,36,41,37.71673469,36.23836735
satellite,Default,0.09900068,673,0.104584305,1,161.2644898,0.025060527,0.08797454,0.140471513,0.02058594,0.034728359,82,57,90.55755102,70.70693878
satellite,Optimal,0.46096292,302,0.046930847,1,72.08734694,0.011202385,0.038645147,0.064833006,0.008624038,0.016773185,29,27,37.93714286,34.15020408
satellite,Fast,0.05236316,2461,0.382439782,1,548.9420408,0.085305678,0.423732667,0.293222004,0.097338078,0.059308368,679,380,428.1902041,120.7518367
satimage-2,Default,0.11229456,821,0.141478546,1,190.0906122,0.0327573,0.142882066,0.028169014,0.033070624,0.007461914,164,0,189.5608163,0.529795918
satimage-2,Optimal,0.70735522,96,0.016543167,1,25.88,0.004459762,0.016748081,0,0.004515003,0,25,0,25.88,0
satimage-2,Fast,0.05249686,2874,0.495261072,1,740.9183673,0.127678505,0.500697837,0.056338028,0.129121438,0.011187123,662,1,740.1240816,0.794285714
thoracic_surgery,Default,0.07831994,68,0.144680851,1,17.51918367,0.037274859,0.12,0.285714286,0.030930612,0.073527697,8,4,12.3722449,5.146938776
thoracic_surgery,Optimal,0.40226326,29,0.061702128,1,7.607346939,0.016185845,0.0575,0.085714286,0.014865306,0.023731778,7,1,5.946122449,1.66122449
thoracic_surgery,Fast,0.04067882,157,0.334042553,1,38.80897959,0.082572297,0.325,0.385714286,0.084012245,0.074344023,37,5,33.60489796,5.204081633
thyroid,Default,0.08353198,252,0.066808059,1,64.89061224,0.017203238,0.065778744,0.107526882,0.01704678,0.023392583,54,4,62.71510204,2.175510204
thyroid,Optimal,0.42359674,93,0.024655355,1,24.43510204,0.006478023,0.02364773,0.064516129,0.006321372,0.012675005,17,1,23.25632653,1.17877551
thyroid,Fast,0.04220506,802,0.2126193,1,200.2628571,0.053091956,0.216363142,0.064516129,0.054043523,0.01544876,190,1,198.8261224,1.436734694
vertebral,Default,0.07350622,25,0.104166667,1,6.585306122,0.027438776,0.114285714,0.033333333,0.029924198,0.010040816,11,0,6.284081633,0.30122449
vertebral,Optimal,0.3911886,13,0.054166667,1,2.780408163,0.011585034,0.057142857,0.033333333,0.013049563,0.001333333,2,0,2.740408163,0.04
vertebral,Fast,0.04269986,79,0.329166667,1,22.12408163,0.092183673,0.352380952,0.166666667,0.096936832,0.058911565,18,2,20.35673469,1.767346939
viz_livestock,Default,0.08162386,53,0.407692308,1,17.04816327,0.131139717,0.380952381,0.52,0.116143829,0.194122449,11,0,12.19510204,4.853061224
viz_livestock,Optimal,0.37915678,0,0,-1,0,0,0,0,0,0,0,0,0,0
viz_livestock,Fast,0.03890126,53,0.407692308,1,19.22040816,0.147849294,0.380952381,0.52,0.132353741,0.212930612,19,5,13.89714286,5.323265306
vowels,Default,0.086023,339,0.23282967,1,85.26285714,0.058559655,0.224039829,0.48,0.056797399,0.108114286,79,5,79.85714286,5.405714286
vowels,Optimal,0.46976016,73,0.050137363,1,15.80244898,0.01085333,0.046941679,0.14,0.010251691,0.027771429,7,2,14.41387755,1.388571429
vowels,Fast,0.04019226,891,0.611950549,1,247.1755102,0.1697634,0.60455192,0.82,0.167702848,0.227706122,256,12,235.7902041,11.38530612
wbc,Default,0.08116894,25,0.066137566,1,5.727346939,0.015151711,0.06162465,0.142857143,0.0141428,0.032303207,5,0,5.048979592,0.678367347
wbc,Optimal,0.08086828,24,0.063492063,1,6.417959184,0.016978728,0.058823529,0.142857143,0.016219059,0.0298931,6,1,5.790204082,0.627755102
wbc,Fast,0.04093502,82,0.216931217,1,19.16653061,0.050705107,0.212885154,0.285714286,0.049937689,0.063751215,27,2,17.8277551,1.33877551
wine,Default,0.07727772,26,0.201550388,1,6.111836735,0.047378579,0.159663866,0.7,0.03154176,0.235836735,5,2,3.753469388,2.358367347
wine,Optimal,0.38644414,11,0.085271318,1,2.645714286,0.020509413,0.050420168,0.5,0.011380552,0.129142857,2,2,1.354285714,1.291428571
wine,Fast,0.045126,56,0.434108527,1,15.05387755,0.116696725,0.394957983,0.9,0.108962442,0.208734694,13,1,12.96653061,2.087346939
