Filename,Mode,AvgTimeElapsed,Flipped,RunNumber50p,AvgFlippedPerRun,AvgFlippedPerRunPercentage
CastMetal1,Default,0.0081613175,0,-1,0,0
CastMetal1,Optimal,0.0015257608400000002,0,-1,0,0
CastMetal1,Fast,-1.0,0,-1,0,0
CostaMadre1,Default,0.0016348158200000002,0,-1,0,0
CostaMadre1,Optimal,0.00136209082,0,-1,0,0
CostaMadre1,Fast,-1.0,0,-1,0,0
KnuggetChase3,Default,0.0016746124600000001,0,-1,0,0
KnuggetChase3,Optimal,0.0016079333199999998,0,-1,0,0
KnuggetChase3,Fast,-1.0,0,-1,0,0
KungChi3,Default,0.0010491883399999999,0,-1,0,0
KungChi3,Optimal,0.00105422502,0,-1,0,0
KungChi3,Fast,-1.0,0,-1,0,0
MeanWhile1,Default,0.00141630588,0,-1,0,0
MeanWhile1,Optimal,0.00128750584,0,-1,0,0
MeanWhile1,Fast,-1.0,0,-1,0,0
MegaWatt1,Default,0.0021481666999999998,0,-1,0,0
MegaWatt1,Optimal,0.00126874496,0,-1,0,0
MegaWatt1,Fast,-1.0,0,-1,0,0
PieChart1,Default,0.00197286258,0,-1,0,0
PieChart1,Optimal,0.00226952166,0,-1,0,0
PieChart1,Fast,-1.0,0,-1,0,0
PieChart2,Default,0.0022353599599999998,0,-1,0,0
PieChart2,Optimal,0.00193121916,0,-1,0,0
PieChart2,Fast,-1.0,0,-1,0,0
PieChart3,Default,0.002711305,0,-1,0,0
PieChart3,Optimal,0.0023901233,0,-1,0,0
PieChart3,Fast,-1.0,0,-1,0,0
PizzaCutter1,Default,0.00201583996,0,-1,0,0
PizzaCutter1,Optimal,0.00205375336,0,-1,0,0
PizzaCutter1,Fast,-1.0,0,-1,0,0
PizzaCutter3,Default,0.00318255502,0,-1,0,0
PizzaCutter3,Optimal,0.0029764767000000003,0,-1,0,0
PizzaCutter3,Fast,-1.0,0,-1,0,0
analcatdata_apnea1,Default,0.09785902419999999,0,-1,0,0
analcatdata_apnea1,Optimal,0.021797234139999996,0,-1,0,0
analcatdata_apnea1,Fast,-1.0,0,-1,0,0
analcatdata_apnea2,Default,0.08964551502,0,-1,0,0
analcatdata_apnea2,Optimal,0.02530189502,0,-1,0,0
analcatdata_apnea2,Fast,-1.0,0,-1,0,0
analcatdata_apnea3,Default,0.08708501084,0,-1,0,0
analcatdata_apnea3,Optimal,0.02313925078,0,-1,0,0
analcatdata_apnea3,Fast,-1.0,0,-1,0,0
analcatdata_challenger,Default,0.00086622,0,-1,0,0
analcatdata_challenger,Optimal,0.0007720267,0,-1,0,0
analcatdata_challenger,Fast,-1.0,0,-1,0,0
analcatdata_chlamydia,Default,0.03290568334,0,-1,0,0
analcatdata_chlamydia,Optimal,0.00739195748,0,-1,0,0
analcatdata_chlamydia,Fast,-1.0,0,-1,0,0
analcatdata_lawsuit,Default,0.0008440875,0,-1,0,0
analcatdata_lawsuit,Optimal,0.0008394133199999999,0,-1,0,0
analcatdata_lawsuit,Fast,-1.0,0,-1,0,0
analcatdata_neavote,Default,0.0008065183399999999,0,-1,0,0
analcatdata_neavote,Optimal,0.0007890859,0,-1,0,0
analcatdata_neavote,Fast,-1.0,0,-1,0,0
annthyroid,Default,0.17794556998,6,3,1.6742857142857144,0.00023253968253968255
annthyroid,Optimal,0.01740247586,0,-1,0,0
annthyroid,Fast,-1.0,0,-1,0,0
appendicitis,Default,0.05898796248,15,2,3.4106122448979592,0.032175587216018486
appendicitis,Optimal,0.0014163742,0,-1,0,0
appendicitis,Fast,-1.0,0,-1,0,0
ar1,Default,0.00107562828,0,-1,0,0
ar1,Optimal,0.0010317600200000002,0,-1,0,0
ar1,Fast,-1.0,0,-1,0,0
ar3,Default,0.00116953256,0,-1,0,0
ar3,Optimal,0.0009592916199999999,0,-1,0,0
ar3,Fast,-1.0,0,-1,0,0
ar4,Default,0.0010642235,0,-1,0,0
ar4,Optimal,0.00103333996,0,-1,0,0
ar4,Fast,-1.0,0,-1,0,0
ar6,Default,0.0009589867,0,-1,0,0
ar6,Optimal,0.00101334246,0,-1,0,0
ar6,Fast,-1.0,0,-1,0,0
arsenic-female-bladder,Default,0.16627720416,0,-1,0,0
arsenic-female-bladder,Optimal,0.03975075666,0,-1,0,0
arsenic-female-bladder,Fast,-1.0,0,-1,0,0
arsenic-female-lung,Default,0.15329855664,0,-1,0,0
arsenic-female-lung,Optimal,0.04011714918,0,-1,0,0
arsenic-female-lung,Fast,-1.0,0,-1,0,0
arsenic-male-bladder,Default,0.15361441334,6,1,2.942857142857143,0.005264502938921544
arsenic-male-bladder,Optimal,0.0009171925,0,-1,0,0
arsenic-male-bladder,Fast,-1.0,0,-1,0,0
arsenic-male-lung,Default,0.15972526422,6,1,3.0293877551020407,0.005419298309663758
arsenic-male-lung,Optimal,0.0008721800399999999,0,-1,0,0
arsenic-male-lung,Fast,-1.0,0,-1,0,0
backache,Default,0.00105480828,0,-1,0,0
backache,Optimal,0.00107394836,0,-1,0,0
backache,Fast,-1.0,0,-1,0,0
breastw,Default,0.00111791922,0,-1,0,0
breastw,Optimal,0.00116053408,0,-1,0,0
breastw,Fast,-1.0,0,-1,0,0
cardio,Default,0.00300172414,0,-1,0,0
cardio,Optimal,0.0026512826000000002,0,-1,0,0
cardio,Fast,-1.0,0,-1,0,0
climate-model-simulation-crashes,Default,0.00324822256,112,14,5.796734693877551,0.01073469387755102
climate-model-simulation-crashes,Optimal,0.01650803412,0,-1,0,0
climate-model-simulation-crashes,Fast,-1.0,0,-1,0,0
