Filename,Mode,MatvR_Min,MatvR_Max,RvSk_Min,RvSk_Max,MatvSk_Min,MatvSk_Max,r_tp_m_fn_per_min,r_tp_m_fn_avg,r_tp_m_fn_per_max,r_tn_m_fp_per_min,r_tn_m_fp_avg,r_tn_m_fp_per_max,m_tp_r_fn_per_min,m_tp_r_fn_avg,m_tp_r_fn_per_max,m_tn_r_fp_per_min,m_tn_r_fp_avg,m_tn_r_fp_per_max,s_tp_r_fn_per_min,s_tp_r_fn_avg,s_tp_r_fn_per_max,s_tn_r_fp_per_min,s_tn_r_fp_avg,s_tn_r_fp_per_max,r_tp_s_fn_per_min,r_tp_s_fn_avg,r_tp_s_fn_per_max,r_tn_s_fp_per_min,r_tn_s_fp_avg,r_tn_s_fp_per_max,s_tp_m_fn_per_min,s_tp_m_fn_avg,s_tp_m_fn_per_max,s_tn_m_fp_per_min,s_tn_m_fp_avg,s_tn_m_fp_per_max,m_tp_s_fn_per_min,m_tp_s_fn_avg,m_tp_s_fn_per_max,m_tn_s_fp_per_min,m_tn_s_fp_avg,m_tn_s_fp_per_max
CastMetal1,Default,0.01834862385321101,0.03058103975535168,0.012232415902140673,0.045871559633027525,0.0,0.039755351681957186,0.011320754716981131,1.4539781756247048,0.018867924528301886,0.0,0.0,0.0,0.0,0.01925526065043104,0.0038314176245210726,0.3333333333333333,38.59735180779532,0.4444444444444444,0.0037593984962406013,0.02565637115527797,0.0,0.3333333333333333,43.379424923658796,0.5833333333333334,0.0,1.0864485843421257,0.03007518796992481,0.0,0.06080043060675089,0.0,0.0,0.7589392023703738,0.011627906976744186,0.0,5.132669954468402,0.3333333333333333,0.0,0.4290790120135213,0.022988505747126436,0.0,0.8101506036566981,0.0
CastMetal1,Mod,0.01834862385321101,0.024464831804281346,0.01529051987767584,0.03058103975535168,0.0,0.01529051987767584,0.011320754716981131,1.1513752386779914,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,38.17607717798464,0.4444444444444444,0.0,0.0,0.0,0.4,43.18836461634341,0.5,0.0037735849056603774,0.9796268670221366,0.018796992481203006,0.0,0.0,0.0,0.0,0.3308939850854411,0.0076045627376425855,0.0,5.709987252877577,0.18181818181818182,0.0,0.1668411860045682,0.003816793893129771,0.0,0.009637727726836909,0.0
CostaMadre1,Default,0.016891891891891893,0.030405405405405407,0.006756756756756757,0.0472972972972973,0.0033783783783783786,0.04391891891891892,0.012448132780082987,1.8625276270574633,0.028925619834710745,0.0,0.0010416179817742677,0.0,0.0,0.007090607251921455,0.00423728813559322,0.2222222222222222,19.679553943652227,0.125,0.004132231404958678,0.19767424619258867,0.0,0.125,23.809261992568448,0.36363636363636365,0.0,1.4835852726772925,0.04132231404958678,0.0,0.056000524646355965,0.0,0.004201680672268907,1.0912165474163324,0.02531645569620253,0.0,5.780184985839608,0.2,0.0,0.5963466909140829,0.0211864406779661,0.0,2.1789135578035803,0.0
CostaMadre1,Mod,0.02364864864864865,0.030405405405405407,0.010135135135135136,0.04054054054054054,0.0,0.033783783783783786,0.012448132780082987,2.2573707366851585,0.028925619834710745,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,29.233168082740907,0.2222222222222222,0.0,0.18314657982340643,0.00425531914893617,0.2222222222222222,26.657312677677552,0.3,0.004149377593360996,1.7014561378681807,0.03305785123966942,0.0,0.0,0.0,0.0,0.9764621473103738,0.01694915254237288,0.0,2.146126284401008,0.2,0.0,0.28168786004187596,0.01276595744680851,0.0,5.380978712796996,0.1111111111111111
KnuggetChase3,Default,0.0,0.030927835051546393,0.010309278350515464,0.05154639175257732,0.0,0.061855670103092786,0.0,0.03721668758546359,0.0,0.0,0.37759672290224255,0.125,0.0,1.3119790501564235,0.02027027027027027,0.0,8.327141912438043,0.2222222222222222,0.0,0.33960488906012665,0.013888888888888888,0.2,30.776342788980774,0.36363636363636365,0.0,0.8903358879957433,0.0273972602739726,0.0,0.016796718887005513,0.0,0.0,0.11205139413724474,0.0070921985815602835,0.0,23.631229056244397,0.3333333333333333,0.0,1.8815151818729183,0.047619047619047616,0.0,0.41993360245943756,0.0
KnuggetChase3,Mod,0.010309278350515464,0.02577319587628866,0.015463917525773196,0.041237113402061855,0.005154639175257732,0.03608247422680412,0.0,0.03176274588045014,0.00684931506849315,0.0,0.050147432362419586,0.0,0.0,0.0646679651989912,0.00684931506849315,0.2222222222222222,22.63388931972311,0.3,0.0,0.21897268814737925,0.006896551724137931,0.2727272727272727,35.518877660611224,0.4166666666666667,0.0,0.41479694399077327,0.0136986301369863,0.0,0.0041729862568831155,0.0,0.0,0.23396248567599987,0.013793103448275862,0.09090909090909091,17.229363348026844,0.3333333333333333,0.0,0.4635301902560678,0.006944444444444444,0.0,0.29174421113341786,0.0
KungChi3,Default,0.0,0.04065040650406504,0.016260162601626018,0.07317073170731707,0.0,0.08130081300813008,0.0,0.4168520918546328,0.010101010101010102,0.0,8.445893770932429,0.4,0.0,0.80577371940178,0.010101010101010102,0.0,2.6412553392393816,0.25,0.0,0.3935849093331172,0.010526315789473684,0.16666666666666666,24.680771562173994,0.375,0.010101010101010102,1.8067372397412758,0.050505050505050504,0.0,0.5314777842077145,0.0,0.0,0.0475050787937954,0.010526315789473684,0.0,28.119753459054444,0.5,0.0,1.6846729181944733,0.050505050505050504,0.0,0.22597521509532226,0.0
KungChi3,Mod,0.032520325203252036,0.056910569105691054,0.016260162601626018,0.04065040650406504,0.0,0.04065040650406504,0.020202020202020204,3.4113708921376054,0.04040404040404041,0.0,0.0,0.0,0.0,0.13515014062597208,0.010416666666666666,0.2857142857142857,28.57142857142856,0.2857142857142857,0.0,0.48203506497306003,0.0,0.16666666666666666,26.513879364185144,0.2857142857142857,0.01,1.3015971439120828,0.03,0.0,0.0,0.0,0.0,2.5608758970222634,0.030612244897959183,0.0,0.0,0.0,0.0,0.09596698733303177,0.010416666666666666,0.0,0.4648730976563953,0.14285714285714285
MeanWhile1,Default,0.011857707509881422,0.04743083003952569,0.007905138339920948,0.05138339920948617,0.003952569169960474,0.06719367588932806,0.009478672985781991,1.7470807885515933,0.03317535545023697,0.0,1.1551053800743447,0.5,0.0,0.08191489560540943,0.004878048780487805,0.14285714285714285,4.9584102183516165,0.25,0.0,0.02399639352230709,0.0,0.14285714285714285,13.611979147178495,0.3333333333333333,0.004739336492890996,2.0603402614825894,0.04739336492890995,0.0,0.8809359853089709,0.0,0.0,1.0095330186161515,0.01990049751243781,0.0,4.742813307563049,0.4444444444444444,0.004830917874396135,1.4774002402002884,0.043689320388349516,0.0,0.799756952724231,0.0
MeanWhile1,Mod,0.019762845849802372,0.03162055335968379,0.007905138339920948,0.03162055335968379,0.0,0.039525691699604744,0.018957345971563982,2.395022664582519,0.02843601895734597,0.0,0.05911493514184296,0.16666666666666666,0.0,0.0,0.0,0.14285714285714285,12.01625268407828,0.16666666666666666,0.0,0.0,0.0,0.14285714285714285,14.330033899456847,0.14285714285714285,0.004739336492890996,1.453132508877244,0.03317535545023697,0.0,0.05911493514184296,0.0,0.0,1.6116814424316366,0.0196078431372549,0.0,0.24263787730953035,0.14285714285714285,0.0,0.7134411070059519,0.024390243902439025,0.0,0.05508498624002267,0.0
