Filename,Time_slope,Flip_slope,ARI_Slope
pima,0.001968918399233358,-0.0013051948051948051,0.0017913065371885748
wine,0.001986423075045409,-0.0013553719008264462,0.0008340299463841742
cardio,0.001965995367845416,-0.001308506754289887,0.0003245612844814598
letter,0.0019455724869442488,-0.001257344083032157,0.00028855198519407493
thyroid,0.002001250763507732,-0.0011447291447291448,0.0005598092903324091
vowels,0.002006841105185818,-0.0012082974859000098,0.0016034842658572705
optdigits,0.0020072527728418957,-0.0012328841055923296,-0.0001347509549067795
breastw,0.0020186479272686466,-0.0012964426877470358,0.0015215439390620501
satellite,0.0020025947536367523,-0.0012560327819092429,-0.00015243868498544444
lympho,0.002016156481508846,-0.001420718816067653,0.0006058408845956592
annthyroid,0.00200081120584565,-0.0012878519710378118,0.00011288088671996387
ionosphere,0.0019982812860538856,-0.0011190979563072585,0.001569637869681668
wbc,0.001987856074607176,-0.0014242424242424242,-6.290281786698547e-05
glass,0.0019776201851679463,-0.0011375291375291374,0.0002467953631380439
satimage-2,0.001973328181691316,-0.0012731418148654809,0.0001523917585558284
vertebral,0.0019836151785632733,-0.0013388429752066115,0.000929569315910149
flare,0.002005253411935272,-0.0013354850277927201,-0.00090261640941901
PieChart3,0.001995735975917727,-0.0011986531986531985,0.0007485432148607211
ar4,0.001994771000190223,-0.0009696969696969697,0.0011916136634709407
PieChart2,0.001985798795771842,-0.001171717171717172,-0.0013633560220245161
thoracic_surgery,0.0019781794165073226,-0.0012272727272727272,0.0014207851717805825
ar6,0.0019963027959321636,-0.0013053613053613058,-0.000297365112478354
PieChart1,0.0019619660068899507,-0.001194805194805195,0.0011090355911966604
arsenic-male-lung,0.0019776239586868248,-0.0012905982905982904,-0.0006573706466187396
KungChi3,0.0019777419342158257,-0.0013593073593073592,0.0012752565465739799
ar3,0.001973405448328947,-0.0003030303030303031,0.0013180425642126434
ar1,0.0020074405581650794,-0.0009494949494949494,0.000741184767208412
MegaWatt1,0.002003761537168636,-0.0014545454545454545,0.0014149737525987335
arsenic-female-bladder,0.0020017246168860386,-0.0012438336856941507,-0.0015876205469399184
analcatdata_challenger,0.002007570565429297,nan,nan
analcatdata_chlamydia,0.0020020797592788563,-0.0014688057040998215,-0.0010379228062949609
arsenic-male-bladder,0.0020026122989230937,-0.0011567852437417655,-0.00023340464079025773
kc3,0.0019900187122468866,-0.001413078149920255,0.0011155626452017465
CostaMadre1,0.0019789054497348613,-0.0010972886762360449,-0.0007206512369391758
mw1,0.0019493125205286754,-0.0012252252252252251,0.00134509273768634
MeanWhile1,0.001971263941570604,-0.001207070707070707,0.0013913083126808547
spambase,0.0019737875492746174,-0.0010643015521064302,-0.00013882044403488642
pc1,0.0019726005625560874,-0.0011788472964943553,-0.0010204823179761576
KnuggetChase3,0.0020113193568138776,-0.0017050505050505054,0.0016931240625057526
CastMetal1,0.0019999817868117534,-0.001585858585858586,0.0009239881821076357
climate-model-simulation-crashes,0.002004970189282333,-0.0011494813910921293,-0.0013985494997624459
appendicitis,0.0019919719535923556,-0.0017727272727272728,0.00036275367977927606
PizzaCutter3,0.001985192480109332,-0.0011438016528925621,0.0012607077385881108
fertility,0.0019820757574058453,-0.0013378226711560047,0.0001320225256279029
analcatdata_apnea1,0.001993236018563409,-0.001164021164021164,-0.0013301399309783482
datatrieve,0.0019660923928549287,-0.0010735930735930738,-0.001788334519693696
analcatdata_apnea3,0.0019744777528409234,-0.0013026262626262628,0.0004969393309321189
analcatdata_lawsuit,0.0019851010922585133,-0.0011677753141167777,-0.001361116366990516
visualizing_livestock,0.001969729653276104,-0.0012606060606060606,0.001058251948870839
analcatdata_neavote,0.0020057495126977387,-0.0015647382920110193,-0.001626393304740623
analcatdata_apnea2,0.0020038200225361083,-0.0011250533504054633,8.786424684870952e-05
PizzaCutter1,0.002010309635051639,-0.0012678132678132677,0.0008227890168596163
arsenic-female-lung,0.0020005317389274906,-0.0011278300243817488,0.0004565728087967071
backache,0.001987859169465801,-0.001316614420062696,-0.0016344363414945457
lungcancer_GSE31210,0.002000704054928697,-0.0011878787878787879,0.0009924921867784208
