Filename,Mode,MatvR,MatvR_Percentage,RvSk,RvSk_Percentage,MatvSk,MatvSk_Percentage,r_tp_m_fn,r_tp_m_fn_per,r_tn_m_fp,r_tn_m_fp_per,m_tp_r_fn,m_tp_r_fn_per,m_tn_r_fp,m_tn_r_fp_per,s_tp_r_fn,s_tp_r_fn_per,s_tn_r_fp,s_tn_r_fp_per,r_tp_s_fn,r_tp_s_fn_per,r_tn_s_fp,r_tn_s_fp_per,s_tp_m_fn,s_tp_m_fn_per,s_tn_m_fp,s_tn_m_fp_per,m_tp_s_fn,m_tp_s_fn_per,m_tn_s_fp,m_tn_s_fp_per
CastMetal1,Default,55,0.16819571865443425,184,0.5626911314984709,173,0.5290519877675841,30,0.11235955056179775,4,1.0,18,0.07058823529411765,3,1.0,18,0.1276595744680851,18,1.0,144,0.5393258426966292,4,1.0,18,0.1276595744680851,18,1.0,133,0.51953125,4,1.0
CastMetal1,Mod,276,0.8440366972477065,188,0.5749235474006116,144,0.44036697247706424,5,0.19230769230769232,31,0.8611111111111112,238,0.918918918918919,2,0.2857142857142857,157,0.8870056497175142,2,0.13333333333333333,6,0.23076923076923078,23,0.6388888888888888,21,0.11864406779661017,15,1.0,102,0.3953488372093023,6,1.0
CostaMadre1,Default,267,0.902027027027027,149,0.5033783783783784,160,0.5405405405405406,1,1.0,32,0.8421052631578947,234,1.0,0,0.0,126,1.0,0,0.0,1,1.0,22,0.5789473684210527,19,0.15079365079365079,16,1.0,123,0.5347826086956522,2,1.0
CostaMadre1,Mod,252,0.8513513513513513,175,0.5912162162162162,127,0.42905405405405406,7,0.2916666666666667,29,0.8529411764705882,216,0.927038626609442,0,0.0,148,0.891566265060241,1,0.06666666666666667,6,0.25,20,0.5882352941176471,22,0.13253012048192772,14,0.9333333333333333,88,0.3793103448275862,3,0.75
KnuggetChase3,Default,175,0.9020618556701031,99,0.5103092783505154,110,0.5670103092783505,1,1.0,30,0.8571428571428571,144,1.0,0,0.0,79,1.0,1,0.05555555555555555,1,1.0,18,0.5142857142857142,15,0.189873417721519,18,1.0,76,0.5428571428571428,1,1.0
KnuggetChase3,Mod,160,0.8247422680412371,59,0.30412371134020616,141,0.7268041237113402,5,0.2777777777777778,30,0.9375,124,0.9051094890510949,1,0.3333333333333333,35,0.875,4,0.13793103448275862,13,0.7222222222222222,7,0.21875,8,0.2,27,0.9310344827586207,105,0.7664233576642335,1,0.3333333333333333
KungChi3,Default,111,0.9024390243902439,62,0.5040650406504065,67,0.5447154471544715,0,0,15,0.9375,96,1.0,0,0.0,54,1.0,0,0.0,0,0,8,0.5,6,0.1111111111111111,8,1.0,50,0.5102040816326531,3,1.0
KungChi3,Mod,100,0.8130081300813008,31,0.25203252032520324,95,0.7723577235772358,4,0.2857142857142857,8,0.6153846153846154,87,0.8969072164948454,1,0.16666666666666666,16,0.8,2,0.16666666666666666,10,0.7142857142857143,3,0.23076923076923078,5,0.25,11,0.9166666666666666,78,0.8387096774193549,1,0.5
MeanWhile1,Default,113,0.44664031620553357,187,0.7391304347826086,144,0.5691699604743083,20,0.14492753623188406,6,1.0,85,0.4187192118226601,2,1.0,73,0.6293103448275862,15,0.8823529411764706,95,0.6884057971014492,4,0.6666666666666666,18,0.15517241379310345,17,1.0,106,0.5196078431372549,3,1.0
MeanWhile1,Mod,207,0.8181818181818182,179,0.7075098814229249,84,0.33201581027667987,3,0.12,20,0.9090909090909091,182,0.8921568627450981,2,0.5,156,0.8914285714285715,2,0.2222222222222222,6,0.24,15,0.6818181818181818,24,0.13714285714285715,9,1.0,50,0.24875621890547264,1,1.0
MegaWatt1,Default,111,0.43873517786561267,187,0.7391304347826086,136,0.5375494071146245,18,0.13043478260869565,5,0.8333333333333334,85,0.4146341463414634,3,0.75,73,0.6293103448275862,15,0.8823529411764706,95,0.6884057971014492,4,0.6666666666666666,16,0.13793103448275862,17,1.0,102,0.504950495049505,1,1.0
MegaWatt1,Mod,207,0.8181818181818182,179,0.7075098814229249,82,0.3241106719367589,3,0.12,21,0.9545454545454546,181,0.8916256157635468,2,0.6666666666666666,156,0.8914285714285715,2,0.2222222222222222,6,0.24,15,0.6818181818181818,23,0.13142857142857142,9,1.0,49,0.24378109452736318,1,1.0
PieChart1,Default,588,0.8340425531914893,405,0.574468085106383,367,0.5205673758865248,9,0.18,40,0.9523809523809523,537,0.9290657439446367,2,0.5,313,0.9811912225705329,17,0.6071428571428571,44,0.88,31,0.7380952380952381,40,0.12539184952978055,27,0.9642857142857143,298,0.5164644714038128,2,0.6666666666666666
PieChart1,Mod,589,0.8354609929078014,389,0.5517730496453901,330,0.46808510638297873,9,0.16071428571428573,40,0.8695652173913043,536,0.9193825042881647,4,0.4,332,0.9222222222222223,3,0.13043478260869565,28,0.5,26,0.5652173913043478,42,0.11666666666666667,21,0.9130434782608695,262,0.4517241379310345,5,0.7142857142857143
PieChart2,Default,390,0.5234899328859061,508,0.6818791946308724,392,0.5261744966442953,43,0.1184573002754821,6,1.0,338,0.513677811550152,3,1.0,248,0.6775956284153005,9,1.0,245,0.6749311294765841,6,1.0,46,0.12568306010928962,9,1.0,336,0.5121951219512195,1,1.0
PieChart2,Mod,645,0.8657718120805369,468,0.6281879194630873,281,0.37718120805369126,9,0.15789473684210525,13,1.0,622,0.9283582089552239,1,1.0,441,0.9111570247933884,1,0.5,14,0.24561403508771928,12,0.9230769230769231,44,0.09090909090909091,2,1.0,232,0.34523809523809523,3,1.0
PieChart3,Default,108,0.10027855153203342,539,0.500464252553389,567,0.5264623955431755,89,0.09437963944856839,0,0,0,0.0,19,1.0,0,0.0,41,1.0,498,0.528101802757158,0,0,53,0.11910112359550562,37,0.9024390243902439,462,0.5409836065573771,15,0.7894736842105263
PieChart3,Mod,923,0.8570102135561746,477,0.4428969359331476,634,0.5886722376973074,12,0.16,108,0.9230769230769231,802,0.9271676300578034,1,0.1,359,0.9276485788113695,13,0.18055555555555555,47,0.6266666666666667,58,0.49572649572649574,42,0.10852713178294573,64,0.8888888888888888,523,0.6025345622119815,5,0.38461538461538464
PizzaCutter1,Default,470,0.7110438729198184,416,0.6293494704992436,348,0.5264750378214826,23,0.1503267973856209,27,0.9,418,0.7627737226277372,2,0.4,263,0.8651315789473685,18,0.72,112,0.7320261437908496,23,0.7666666666666667,40,0.13157894736842105,24,0.96,282,0.5164835164835165,2,0.6666666666666666
PizzaCutter1,Mod,554,0.8381240544629349,535,0.8093797276853253,139,0.2102874432677761,10,0.18518518518518517,35,0.8536585365853658,507,0.9201451905626135,2,0.25,488,0.9138576779026217,1,0.25,8,0.14814814814814814,38,0.926829268292683,59,0.1104868913857678,3,0.75,73,0.1332116788321168,4,0.8
PizzaCutter3,Default,104,0.09971236816874401,522,0.5004793863854267,544,0.5215723873441994,92,0.10043668122270742,0,0,0,0.0,12,1.0,0,0.0,38,1.0,484,0.5283842794759825,0,0,52,0.12037037037037036,32,0.8421052631578947,449,0.5416164053075995,11,0.6470588235294118
PizzaCutter3,Mod,898,0.8609779482262704,485,0.4650047938638543,599,0.5743048897411314,10,0.1388888888888889,103,0.9363636363636364,780,0.9263657957244655,5,0.4166666666666667,369,0.9413265306122449,11,0.16923076923076924,49,0.6805555555555556,56,0.509090909090909,42,0.10714285714285714,61,0.9384615384615385,490,0.5833333333333334,6,0.6
analcatdata_apnea1,Default,276,0.5810526315789474,412,0.8673684210526316,276,0.5810526315789474,41,0.1971153846153846,23,1.0,206,0.5522788203753352,6,1.0,185,0.8486238532110092,31,0.9393939393939394,175,0.8413461538461539,21,0.9130434782608695,41,0.18807339449541285,33,1.0,196,0.5254691689008043,6,1.0
analcatdata_apnea1,Mod,447,0.9410526315789474,388,0.8168421052631579,101,0.21263157894736842,4,0.26666666666666666,53,0.9464285714285714,389,0.9725,1,0.25,328,0.973293768545994,2,0.3333333333333333,6,0.4,52,0.9285714285714286,14,0.04154302670623145,6,1.0,77,0.1925,4,1.0
analcatdata_apnea2,Default,276,0.5810526315789474,412,0.8673684210526316,264,0.5557894736842105,42,0.2028985507246377,25,1.0,204,0.5528455284552846,5,1.0,183,0.8472222222222222,32,0.9411764705882353,174,0.8405797101449275,23,0.92,34,0.1574074074074074,32,0.9411764705882353,191,0.5120643431635389,7,0.7777777777777778
analcatdata_apnea2,Mod,442,0.9305263157894736,389,0.8189473684210526,101,0.21263157894736842,8,0.36363636363636365,55,0.9482758620689655,377,0.9641943734015346,2,0.4,329,0.9563953488372093,2,0.2222222222222222,7,0.3181818181818182,51,0.8793103448275862,14,0.040697674418604654,9,1.0,67,0.16876574307304787,11,1.0
analcatdata_apnea3,Default,266,0.5911111111111111,402,0.8933333333333333,266,0.5911111111111111,39,0.19696969696969696,24,1.0,197,0.5533707865168539,6,1.0,179,0.8817733990147784,27,0.9310344827586207,174,0.8787878787878788,22,0.9166666666666666,40,0.19704433497536947,29,1.0,192,0.5408450704225352,5,1.0
