Filename,Mode,AvgTimeElapsed,Flipped,RunNumber50p,AvgFlippedPerRun,AvgFlippedPerRunPercentage
CastMetal1,Default,0.41246742000002995,22,1,7.023673469387755,0.02147912375959558
CastMetal1,Optimal,0.3841798799999924,23,4,6.641632653061224,0.020310803220370717
CastMetal1,Fast,0.31563573999990696,137,6,23.580408163265307,0.07211133994882357
CostaMadre1,Default,0.3773757199999818,25,2,6.419591836734694,0.02168781025923883
CostaMadre1,Optimal,0.37873897999988915,33,1,6.537142857142857,0.022084942084942084
CostaMadre1,Fast,0.32353454000000054,117,3,26.76326530612245,0.09041643684500827
KnuggetChase3,Default,0.3710382400000708,10,6,2.4,0.012371134020618556
KnuggetChase3,Optimal,0.3725577599999269,10,4,2.230204081632653,0.011495897328003367
KnuggetChase3,Fast,0.3081935200000771,51,8,9.244081632653062,0.04764990532295393
KungChi3,Default,0.2857198200000857,17,2,4.653061224489796,0.037829766052762566
KungChi3,Optimal,0.226404539999985,32,5,6.081632653061225,0.049444167911066865
KungChi3,Fast,0.21920769999995174,25,2,4.893061224489796,0.03978098556495769
MeanWhile1,Default,0.3295979599999373,28,2,9.061224489795919,0.035815116560458174
MeanWhile1,Optimal,0.3419525600000634,25,4,6.25795918367347,0.024735016536258776
MeanWhile1,Fast,0.29708406000007015,72,5,17.39265306122449,0.06874566427361459
MegaWatt1,Default,0.33198127999989085,28,3,9.260408163265305,0.03660240380737275
MegaWatt1,Optimal,0.34229370000004566,30,23,6.233469387755102,0.02463821892393321
MegaWatt1,Fast,0.4471139400000175,64,2,17.31265306122449,0.06842945874001775
PieChart1,Default,4.568827800000017,79,4,20.506122448979593,0.029086698509190913
PieChart1,Optimal,4.6805676800000215,61,5,15.98530612244898,0.022674193081487916
PieChart1,Fast,4.17130506000005,152,8,29.91673469387755,0.04243508467216674
PieChart2,Default,4.32876608000006,90,6,16.46857142857143,0.022105465004793864
PieChart2,Optimal,4.338497219999954,81,5,18.367346938775512,0.024654156964799345
PieChart2,Fast,3.8682531200000083,166,18,31.147755102040815,0.041809067251061496
