Filename,Mode,AvgTimeElapsed,Flipped,FlippedPercentage,RunNumber50p,AvgFlippedPerRun,AvgFlippedPerRunPercentage,ti_fo_per_all,to_fi_per_all,ti_fo_per_avg,to_fi_per_avg
CastMetal1,Default,0.29266915163999996,20,0.06116207951070336,1,4.455510204081633,0.013625413468139549,0.05263157894736842,0.11904761904761904,0.012196204797708558,0.023323615160349854
CostaMadre1,Default,0.28183492422,18,0.060810810810810814,1,4.511020408163265,0.015239933811362382,0.05813953488372093,0.07894736842105263,0.01222591362126246,0.03570354457572503
KnuggetChase3,Default,0.20954536582,11,0.05670103092783505,1,2.662857142857143,0.013726067746686303,0.0379746835443038,0.1388888888888889,0.009563420304830792,0.03199546485260771
KungChi3,Default,0.12510673832,9,0.07317073170731707,1,2.462040816326531,0.020016592002654723,0.04672897196261682,0.25,0.011398054548922372,0.0776530612244898
MeanWhile1,Default,0.28134186082,19,0.07509881422924901,1,5.476734693877551,0.021647172703073325,0.061946902654867256,0.18518518518518517,0.019497923063030526,0.03963718820861678
MegaWatt1,Default,0.28212236664,19,0.07509881422924901,1,5.270204081632653,0.02083084617246108,0.061946902654867256,0.18518518518518517,0.018049485280837996,0.04411186696900983
PieChart1,Default,0.29743327584,39,0.05531914893617021,1,10.045714285714286,0.014249240121580548,0.05124223602484472,0.09836065573770492,0.014336417796932437,0.013328872532619605
PieChart2,Default,0.30857891253999997,49,0.06577181208053691,1,12.419591836734694,0.016670593069442543,0.06172839506172839,0.25,0.016017468715881413,0.04642857142857143
PieChart3,Default,0.30456130002,59,0.05478180129990715,1,15.71265306122449,0.014589278608379285,0.04559915164369035,0.11940298507462686,0.011887376371545437,0.033603411513859274
PizzaCutter1,Default,0.29840798832,32,0.048411497730711045,1,8.62204081632653,0.013043934669177807,0.04433497536945813,0.09615384615384616,0.010679266780603868,0.04073783359497645
PizzaCutter3,Default,0.30391472248,60,0.05752636625119847,1,14.73469387755102,0.014127223276654862,0.04694323144104803,0.13385826771653545,0.01221103288476963,0.02794793507954363
analcatdata_apnea1,Default,0.31012123078,64,0.13473684210526315,1,10.813061224489797,0.02276433941997852,0.13043478260869565,0.16393442622950818,0.020918860297742283,0.035289394446303114
analcatdata_apnea2,Default,0.30901571833999997,70,0.14736842105263157,1,10.724897959183673,0.02257873254564984,0.1411192214111922,0.1875,0.021270172302497642,0.030982142857142857
analcatdata_apnea3,Default,0.3089879068,61,0.13555555555555557,1,9.255510204081633,0.02056780045351474,0.12658227848101267,0.2,0.01891190906742444,0.032460111317254174
analcatdata_challenger,Default,0.03577840418,18,0.13043478260869565,1,7.807346938775511,0.056574977817213844,0.13953488372093023,0.0,0.060522069292833415,0.0
analcatdata_chlamydia,Default,0.1037483709,16,0.16,1,3.0048979591836735,0.030048979591836736,0.18518518518518517,0.05263157894736842,0.036603678508440415,0.002105263157894737
analcatdata_lawsuit,Default,0.29225787016,26,0.09848484848484848,1,8.438367346938776,0.03196351267779839,0.08571428571428572,0.2631578947368421,0.02982423990004165,0.05954887218045113
analcatdata_neavote,Default,0.10702694672,14,0.14,1,3.8424489795918366,0.038424489795918365,0.12903225806451613,0.2857142857142857,0.038086460390607854,0.042915451895043734
annthyroid,Default,0.38789397004000004,479,0.06652777777777778,1,126.0865306122449,0.01751201814058957,0.05895589558955896,0.16104868913857678,0.015365699835289652,0.044304823052816626
appendicitis,Default,0.09476463660000001,6,0.05660377358490566,1,1.5281632653061223,0.014416634578359644,0.058823529411764705,0.047619047619047616,0.0125906362545018,0.021807580174927114
ar1,Default,0.10762315001999997,11,0.09090909090909091,1,2.4024489795918367,0.019854950244560635,0.07142857142857142,0.3333333333333333,0.012346938775510203,0.11328798185941043
ar3,Default,0.05856651749999999,2,0.031746031746031744,18,0.08,0.0012698412698412698,0.01818181818181818,0.125,0.0007272727272727273,0.005
ar4,Default,0.10745225922000001,6,0.056074766355140186,3,1.9093877551020408,0.017844745374785427,0.04597701149425287,0.1,0.01634529673938541,0.02436734693877551
ar6,Default,0.09697556829999998,7,0.06930693069306931,1,0.6457142857142857,0.006393210749646393,0.06976744186046512,0.06666666666666667,0.0050023730422401515,0.01436734693877551
arsenic-female-bladder,Default,0.29160437592,51,0.09123434704830054,1,11.199183673469388,0.020034317841626813,0.09603340292275574,0.0625,0.02129606748753781,0.012479591836734694
arsenic-female-lung,Default,0.2941890641,48,0.08586762075134168,1,11.02204081632653,0.019717425431711146,0.08888888888888889,0.0,0.020411186696900983,0.0
arsenic-male-bladder,Default,0.28897158412,39,0.06976744186046512,1,10.896326530612244,0.01949253404402906,0.07289719626168224,0.0,0.020366965477779896,0.0
arsenic-male-lung,Default,0.28589087667999996,46,0.08228980322003578,1,11.475102040816326,0.020527910627578402,0.08424908424908426,0.0,0.021016670404425505,0.0
backache,Default,0.23626797576000003,21,0.11666666666666667,1,4.048979591836734,0.022494331065759637,0.1032258064516129,0.2,0.022720210664911127,0.021093877551020407
breastw,Default,0.26129221334,79,0.11566617862371889,1,20.587755102040816,0.03014312606448143,0.009009009009009009,0.3138075313807531,0.0014708586137157564,0.08340876099393732
cardio,Default,0.32519616160000003,230,0.12561441835062806,1,59.63428571428572,0.03256924397284856,0.09123867069486405,0.44886363636363635,0.022846291386645293,0.12399814471243044
climate-model-simulation-crashes,Default,0.27077302758,186,0.34444444444444444,1,48.68244897959184,0.09015268329554045,0.3319838056680162,0.4782608695652174,0.08603156242253987,0.13440993788819877
