Filename,Mode,MatvR_Min,MatvR_Max,RvSk_Min,RvSk_Max,MatvSk_Min,MatvSk_Max,r_tp_m_fn_per_min,r_tp_m_fn_avg,r_tp_m_fn_per_max,r_tn_m_fp_per_min,r_tn_m_fp_avg,r_tn_m_fp_per_max,m_tp_r_fn_per_min,m_tp_r_fn_avg,m_tp_r_fn_per_max,m_tn_r_fp_per_min,m_tn_r_fp_avg,m_tn_r_fp_per_max,s_tp_r_fn_per_min,s_tp_r_fn_per_max,s_tn_r_fp_per_min,s_tn_r_fp_per_max,r_tp_s_fn_per_min,r_tp_s_fn_per_max,r_tn_s_fp_per_min,r_tn_s_fp_per_max,s_tp_m_fn_per_min,s_tp_m_fn_avg,s_tp_m_fn_per_max,s_tn_m_fp_per_min,s_tn_m_fp_avg,s_tn_m_fp_per_max,m_tp_s_fn_per_min,m_tp_s_fn_avg,m_tp_s_fn_per_max,m_tn_s_fp_per_min,m_tn_s_fp_avg,m_tn_s_fp_per_max
appendicitis,Default,0.4056603773584906,0.4811320754716981,0.4811320754716981,0.4811320754716981,0.37735849056603776,0.37735849056603776,0.061224489795918366,8.663585179879338,0.12244897959183673,0.8,89.11499609342182,1.0,0.4025974025974026,41.6968643879773,0.4342105263157895,0.3333333333333333,63.90159954185843,1.0,0.4489795918367347,0.4489795918367347,0.4,0.4,0.4489795918367347,0.4489795918367347,0.1,0.1,0.0,0.0,0.0,0.8666666666666667,82.00624160361195,0.8666666666666667,0.35526315789473684,36.03599407794081,0.35526315789473684,0.0,0.0,0.0
appendicitis,Mod,0.8301886792452831,0.8867924528301887,0.8113207547169812,0.8113207547169812,0.018867924528301886,0.09433962264150944,0.631578947368421,70.0073922300062,0.7894736842105263,0.6,69.48408610113745,0.7333333333333333,0.9,91.71583288609443,0.9411764705882353,0.4,46.84896612813152,0.5,0.8857142857142857,0.8857142857142857,0.4,0.4,0.5789473684210527,0.5789473684210527,0.6,0.6,0.014285714285714285,3.914436443900396,0.07142857142857142,0.0,12.56126073960118,0.3,0.014285714285714285,1.8672920183474178,0.029850746268656716,0.0,0.0,0.0
ar1,Default,0.09917355371900827,0.1487603305785124,0.5454545454545454,0.5454545454545454,0.4462809917355372,0.5619834710743802,0.08333333333333333,9.22684787115738,0.10185185185185185,0.5,82.4124809034438,1.0,0.019801980198019802,3.3882140624314587,0.039603960396039604,0.0,17.61372273225461,1.0,0.07142857142857142,0.07142857142857142,1.0,1.0,0.5185185185185185,0.5185185185185185,1.0,1.0,0.05357142857142857,10.010936965130107,0.16071428571428573,0.5,86.00617826425695,1.0,0.4803921568627451,50.484853177737406,0.5346534653465347,0.0,12.550344614155854,1.0
ar1,Mod,0.6363636363636364,0.768595041322314,0.4297520661157025,0.4297520661157025,0.47107438016528924,0.6033057851239669,0.0,13.132440786337078,0.3181818181818182,0.8333333333333334,76.99467120412604,0.8333333333333334,0.7659574468085106,80.23171056534977,0.8421052631578947,0.0,7.705582917026783,0.5,0.7358490566037735,0.7358490566037735,0.3333333333333333,0.3333333333333333,0.36363636363636365,0.36363636363636365,0.6666666666666666,0.6666666666666666,0.11320754716981132,16.00589819280038,0.22641509433962265,0.6666666666666666,64.26302589874106,1.0,0.5052631578947369,53.19419132007486,0.5729166666666666,0.5,22.498348542813034,1.0
ar3,Default,0.1746031746031746,0.2698412698412698,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.5873015873015873,0.044444444444444446,8.97865223822497,0.13333333333333333,1.0,57.050078174618164,1.0,0.14,18.026417807504192,0.20408163265306123,1.0,8.811239819594132,0,0.3225806451612903,0.3225806451612903,1.0,1.0,0.5333333333333333,0.5333333333333333,1.0,1.0,0.03225806451612903,9.766799108012565,0.16129032258064516,0.8571428571428571,89.20387816443697,1.0,0.4,44.13297682811112,0.48,0.0,0.6308057747076068,1.0
ar3,Mod,0.7301587301587301,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.30158730158730157,0.0,6.782973813140189,0.5,0.8333333333333334,85.13973237177242,0.8333333333333334,0.8723404255319149,89.16635320320644,0.9375,0.0,0.9656864314494908,0.5,0.8723404255319149,0.8723404255319149,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0851063829787234,14.019841628870756,0.14893617021276595,0.5,83.56021185763979,1.0,0.0851063829787234,14.0638456217468,0.16666666666666666,0.0,10.199006333626238,1.0
ar4,Default,0.1588785046728972,0.2336448598130841,0.6448598130841121,0.6448598130841121,0.42990654205607476,0.5794392523364486,0.08108108108108109,9.477481650145267,0.12162162162162163,0.0,32.364471050289836,1.0,0.1282051282051282,14.749147302859651,0.16666666666666666,0.5,67.0902089630885,1.0,0.29545454545454547,0.29545454545454547,1.0,1.0,0.581081081081081,0.581081081081081,1.0,1.0,0.022727272727272728,9.27680880271103,0.1590909090909091,0.8333333333333334,85.48365173352138,0.9166666666666666,0.44871794871794873,49.54092497548869,0.5316455696202531,0.0,11.932284166119704,0.6666666666666666
ar4,Mod,0.7850467289719626,0.8598130841121495,0.2523364485981308,0.2523364485981308,0.719626168224299,0.8130841121495327,0.0,4.5457611094085335,0.2222222222222222,1.0,91.75572888293337,1.0,0.8831168831168831,89.71693284692276,0.9113924050632911,0,4.644162830706185,1.0,0.8823529411764706,0.8823529411764706,0.17647058823529413,0.17647058823529413,0.7777777777777778,0.7777777777777778,0.125,0.125,0.0,7.117614093930612,0.23529411764705882,0.8823529411764706,90.5479468491048,1.0,0.7848101265822784,80.61248304064151,0.8333333333333334,0.0,1.9030103306761599,1.0
ar6,Default,0.21782178217821782,0.31683168316831684,0.6534653465346535,0.6534653465346535,0.43564356435643564,0.5544554455445545,0.07462686567164178,9.104535663793264,0.11940298507462686,0.6666666666666666,84.5152605657744,1.0,0.19480519480519481,21.607916009390813,0.24358974358974358,0.0,19.987151820528137,1.0,0.37209302325581395,0.37209302325581395,1.0,1.0,0.5970149253731343,0.5970149253731343,1.0,1.0,0.046511627906976744,10.38231292934435,0.16279069767441862,1.0,88.0610378384632,1.0,0.4605263157894737,50.5908518842857,0.5324675324675324,0,10.33225125810723,1.0
ar6,Mod,0.7029702970297029,0.801980198019802,0.3069306930693069,0.3069306930693069,0.5742574257425742,0.7128712871287128,0.0,8.859146106382111,0.3333333333333333,0.8333333333333334,82.31604019530182,0.9166666666666666,0.8356164383561644,85.89195408935666,0.8904109589041096,0.0,1.504671515500251,0.5,0.8076923076923077,0.8076923076923077,0.09090909090909091,0.09090909090909091,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.038461538461538464,13.824127306028709,0.19230769230769232,0.8181818181818182,81.55373837636712,0.8181818181818182,0.6575342465753424,69.86943077980156,0.7236842105263158,0.0,2.0881514688695266,0.6
