Filename,Mode,MatvSk_Min,MatvSk_Max,s_tp_m_fn_per_min,s_tp_m_fn_avg,s_tp_m_fn_per_max,s_tn_m_fp_per_min,s_tn_m_fp_avg,s_tn_m_fp_per_max,m_tp_s_fn_per_min,m_tp_s_fn_avg,m_tp_s_fn_per_max,m_tn_s_fp_per_min,m_tn_s_fp_avg,m_tn_s_fp_per_max
appendicitis,Default,0.3490566037735849,0.3584905660377358,0.3291139240506329,33.88344522750653,0.34177215189873417,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,69.68552514219897,0.6875
ar1,Default,0.09917355371900827,0.10743801652892562,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.09821428571428571,9.519362432986252,0.08928571428571429,0,0.0,0
ar3,Default,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.03636363636363636,4.371798858682005,0.03636363636363636,0,0.0,0
ar4,Default,0.102803738317757,0.102803738317757,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.034482758620689655,4.363425442605581,0.034482758620689655,0,0.0,0
ar6,Default,0.09900990099009901,0.10891089108910891,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.06976744186046512,6.885874620410649,0.08139534883720931,0,0.0,0
arsenic-female-bladder,Default,0.13059033989266547,0.13059033989266547,0.14285714285714285,14.285714285714278,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,35.71428571428574,0.35714285714285715
arsenic-female-lung,Default,0.13059033989266547,0.13059033989266547,0.14428857715430862,14.428857715430858,0.14428857715430862,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,6.25,0.0625
arsenic-male-bladder,Default,0.16457960644007155,0.17531305903398928,0.18089430894308944,18.572585718479054,0.19308943089430894,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,18.750000000000014,0.1875
arsenic-male-lung,Default,0.16457960644007155,0.17531305903398928,0.18290258449304175,18.818368765929453,0.19483101391650098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
backache,Default,0.1,0.1,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.08387096774193549,8.141904773425502,0.08387096774193549,0,0.0,0
breastw,Default,0.10102489019033675,0.10102489019033675,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.0,0.3454035137521414,0.0,0,0.0,0
cardio,Default,0.3309666848716548,0.332605133806663,0.34974093264248707,35.31759592653308,0.3516483516483517,0.0,0.0,0.0,0.0,0.011458907195306178,0.00099601593625498,0.4748201438848921,41.973950128544914,0.460431654676259
climate-model-simulation-crashes,Default,0.08888888888888889,0.12962962962962962,0.006741573033707865,0.175847724453698,0.04932735426008968,1.0,97.77897846285094,0.6666666666666666,0.08298755186721991,9.532212618774125,0.09012875536480687,0,0.8677263044374515,0.5
datatrieve,Default,0.1,0.1,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.08403361344537816,8.975915342917935,0.08403361344537816,0,0.0,0
fertility,Default,0.09,0.11,0.0,0.0,0.0,0,91.09476548345415,1.0,0.10227272727272728,9.486103162568977,0.10227272727272728,0,0.0,0
flare,Default,0.09380863039399624,0.1050656660412758,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.07239819004524888,7.883609720168739,0.08710407239819004,0,0.0,0
glass,Default,0.102803738317757,0.102803738317757,0.0,0.0,0.0,0,2.9929733546852786,0,0.1073170731707317,10.583184510765872,0.1073170731707317,0,0.0,0
ionosphere,Default,0.09971509971509972,0.10256410256410256,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.0,0.0,0.0,0,0.0,0
kc3,Default,0.10043668122270742,0.10043668122270742,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.0746987951807229,7.607648348887855,0.0746987951807229,0,0.0,0
letter,Default,0.1,0.1,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.088,8.842634315127274,0.088,0,0.0,0
lungcancer_GSE31210,Default,0.10176991150442478,0.10176991150442478,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.09424083769633508,9.338490566060617,0.09424083769633508,0,0.0,0
lympho,Default,0.10135135135135136,0.10135135135135136,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.07746478873239436,7.78721204763727,0.07746478873239436,0,0.0,0
mw1,Default,0.10173697270471464,0.10173697270471464,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.0913978494623656,8.873497261700685,0.0913978494623656,0,0.0,0
optdigits,Default,0.10007668711656442,0.10007668711656442,0.0,0.0,0.0,0,0.20274304701402612,0,0.10303987366758784,10.301612657194525,0.10303987366758784,0,0.0,0
pc1,Default,0.09918845807033363,0.10099188458070334,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.08624031007751938,8.711100070379212,0.0872093023255814,0,0.0,0
satellite,Default,0.22921522921522922,0.22968142968142968,0.1558144848069454,15.622107885546946,0.15649988576650675,0.0,0.0,0.0,0.0,0.0,0.0,0.5604240282685512,56.040537104339116,0.5604240282685512
satimage-2,Default,0.17370325693606756,0.17508185421333794,0.19302949061662197,19.39254851643405,0.1945614707008809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spambase,Default,0.09258856770267333,0.10541186698543795,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.10760401721664276,11.536759226871212,0.1054519368723099,0,0.0,0
thoracic_surgery,Default,0.1,0.1,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.0925,9.134387711019373,0.0925,0,0.0,0
thyroid,Default,0.1810710498409332,0.1818663838812301,0.20029498525073747,20.060174547933407,0.20117994100294986,0.0,0.0,0.0,0.0,0.0,0.0,0.043010752688172046,4.301075268817203,0.043010752688172046
vertebral,Default,0.1,0.29583333333333334,0.0,3.2153784377370664,0.26881720430107525,0,0.0,0,0.11428571428571428,7.077947427281311,0.07482993197278912,0,6.619060189722753,1.0
visualizing_livestock,Default,0.09230769230769231,0.09230769230769231,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.10476190476190476,10.476190476190483,0.10476190476190476,0,0.0,0
vowels,Default,0.33516483516483514,0.34203296703296704,0.35624012638230645,36.075407722683224,0.3641390205371248,0.0,0.0,0.0,0.0,0.0,0.0,0.8604651162790697,86.02654222728661,0.8604651162790697
wbc,Default,0.3439153439153439,0.3544973544973545,0.36936936936936937,37.66849455972968,0.3813813813813814,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,33.33333333333334,0.3333333333333333
wine,Default,0.12403100775193798,0.16279069767441862,0.12280701754385964,14.184110147844006,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.2,20.16421392714815,0.2
