Filename,Mode,MatvSk_Min,MatvSk_Max,s_tp_m_fn_per_min,s_tp_m_fn_avg,s_tp_m_fn_per_max,s_tn_m_fp_per_min,s_tn_m_fp_avg,s_tn_m_fp_per_max,m_tp_s_fn_per_min,m_tp_s_fn_avg,m_tp_s_fn_per_max,m_tn_s_fp_per_min,m_tn_s_fp_avg,m_tn_s_fp_per_max
CastMetal1,Default,0.10091743119266056,0.10091743119266056,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.08771929824561403,8.464896972715811,0.08771929824561403,0,0.0,0
CostaMadre1,Default,0.10135135135135136,0.10135135135135136,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.08527131782945736,8.398566023008046,0.08527131782945736,0,0.0,0
KnuggetChase3,Default,0.10309278350515463,0.10309278350515463,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.0759493670886076,7.538788228465775,0.0759493670886076,0,0.0,0
KungChi3,Default,0.10569105691056911,0.10569105691056911,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.07476635514018691,7.929525251685627,0.07476635514018691,0,0.0,0
MeanWhile1,Default,0.10276679841897234,0.10276679841897234,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.10619469026548672,10.257576962376577,0.10619469026548672,0,0.0,0
MegaWatt1,Default,0.10276679841897234,0.10276679841897234,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.10176991150442478,10.30285098542796,0.10176991150442478,0,0.0,0
PieChart1,Default,0.10070921985815603,0.10070921985815603,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.08229813664596274,8.426882614879238,0.08229813664596274,0,0.0,0
PieChart2,Default,0.10067114093959731,0.10067114093959731,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.09602194787379972,9.510612658853377,0.09602194787379972,0,0.0,0
PieChart3,Default,0.10027855153203342,0.10027855153203342,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.09331919406150584,9.207668446479563,0.09331919406150584,0,0.0,0
PizzaCutter1,Default,0.09984871406959153,0.10136157337367625,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.08374384236453201,8.309070337237763,0.08374384236453201,0,0.0,0
PizzaCutter3,Default,0.10067114093959731,0.10067114093959731,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.0906113537117904,9.202609238726575,0.0906113537117904,0,0.0,0
analcatdata_apnea1,Default,0.10105263157894737,0.10105263157894737,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.09178743961352658,9.178743961352668,0.09178743961352658,0,0.0,0
analcatdata_apnea2,Default,0.10105263157894737,0.10105263157894737,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.09245742092457421,9.245742092457418,0.09245742092457421,0,0.0,0
analcatdata_apnea3,Default,0.08888888888888889,0.08888888888888889,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.0810126582278481,8.101265822784809,0.0810126582278481,0,0.0,0
analcatdata_challenger,Default,0.13043478260869565,0.13043478260869565,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.10852713178294573,10.852713178294568,0.10852713178294573,0,0.0,0
analcatdata_chlamydia,Default,0.08,0.08,0.0,0.0,0.0,0,0.0,0,0.09876543209876543,9.876543209876548,0.09876543209876543,0,0.0,0
analcatdata_lawsuit,Default,0.10227272727272728,0.10227272727272728,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.10612244897959183,10.61224489795918,0.10612244897959183,0,0.0,0
analcatdata_neavote,Default,0.1,0.1,0.0,0.0,0.0,1.0,100.00000000000003,1.0,0.0967741935483871,9.677419354838719,0.0967741935483871,0,0.0,0
annthyroid,Default,0.17819444444444443,0.17888888888888888,0.17116249197174052,17.147975277286065,0.17196531791907516,0.0,0.0,0.0,0.0,0.0,0.0,0.4348697394789579,43.50677482477113,0.4348697394789579
