Filename,Mode,AvgTimeElapsed,Flipped,FlippedPercentage,RunNumber50p,AvgFlippedPerRun,AvgFlippedPerRunPercentage,ti_fo_per_all,to_fi_per_all,ti_fo_per_avg,to_fi_per_avg
CastMetal1,Default,-1.0,325,0.9938837920489296,1,59.38285714285714,0.1815989515072084,0.9929824561403509,1.0,0.1806344432509846,0.1881438289601555
CostaMadre1,Default,-1.0,294,0.9932432432432432,1,53.926530612244896,0.1821842250413679,0.9922480620155039,1.0,0.18476190476190474,0.16468313641245974
KnuggetChase3,Default,-1.0,191,0.9845360824742269,1,34.287346938775514,0.17673890174626553,0.9810126582278481,1.0,0.17284939292172563,0.1938095238095238
KungChi3,Default,-1.0,120,0.975609756097561,1,21.604897959183674,0.17564957690393232,0.9719626168224299,1.0,0.17672325004768263,0.16846938775510203
MeanWhile1,Default,-1.0,251,0.9920948616600791,1,44.97632653061225,0.1777720416229733,0.9911504424778761,1.0,0.17870326891818675,0.16997732426303855
MegaWatt1,Default,-1.0,250,0.9881422924901185,1,45.16244897959184,0.17850770347664757,0.9867256637168141,1.0,0.17944374209860933,0.17067271352985638
PieChart1,Default,-1.0,700,0.9929078014184397,1,125.96408163265306,0.17867245621652916,0.9922360248447205,1.0,0.1788832551654202,0.17644697223151556
PieChart2,Default,-1.0,738,0.9906040268456375,1,133.03510204081633,0.1785706067661964,0.99039780521262,1.0,0.17838134430727023,0.1871938775510204
PieChart3,Default,-1.0,1068,0.9916434540389972,1,194.16816326530613,0.18028613116555817,0.9904559915164369,1.0,0.1800515073473716,0.18193725251294549
PizzaCutter1,Default,-1.0,659,0.9969742813918305,1,119.00897959183673,0.1800438420451388,0.9967159277504105,1.0,0.17966287993029723,0.1845054945054945
PizzaCutter3,Default,-1.0,1034,0.9913710450623202,1,187.3338775510204,0.1796106208542861,0.99235807860262,0.984251968503937,0.17970412619196152,0.17893620440302108
analcatdata_apnea1,Default,-1.0,466,0.9810526315789474,1,83.64571428571429,0.17609624060150378,0.9830917874396136,0.9672131147540983,0.17486345262742778,0.18446303111408496
analcatdata_apnea1,Optimal,0.03225619413999999,322,0.6778947368421052,1,94.34938775510204,0.19863029001074115,0.6690821256038647,0.7377049180327869,0.1902573203194321,0.2554566744730679
analcatdata_apnea1,Fast,-1.0,322,0.6778947368421052,1,94.34938775510204,0.19863029001074115,0.6690821256038647,0.7377049180327869,0.1902573203194321,0.2554566744730679
analcatdata_apnea2,Default,-1.0,467,0.9831578947368421,1,80.99918367346939,0.17052459720730398,0.9805352798053528,1.0,0.16771438502408262,0.18857142857142858
analcatdata_apnea2,Optimal,0.0128557874,335,0.7052631578947368,1,94.13551020408163,0.19818002148227712,0.6982968369829684,0.75,0.19241471771190227,0.23520408163265305
analcatdata_apnea2,Fast,-1.0,335,0.7052631578947368,1,94.13551020408163,0.19818002148227712,0.6982968369829684,0.75,0.19241471771190227,0.23520408163265305
analcatdata_apnea3,Default,-1.0,448,0.9955555555555555,1,80.25795918367346,0.17835102040816325,0.9949367088607595,1.0,0.1787755102040816,0.17530241187384044
analcatdata_apnea3,Optimal,0.014460499920000003,211,0.4688888888888889,1,56.888163265306126,0.12641814058956916,0.46582278481012657,0.4909090909090909,0.12274244381296823,0.15281632653061222
analcatdata_apnea3,Fast,-1.0,211,0.4688888888888889,1,56.888163265306126,0.12641814058956916,0.46582278481012657,0.4909090909090909,0.12274244381296823,0.15281632653061222
analcatdata_challenger,Default,-1.0,90,0.6521739130434783,1,19.400816326530613,0.14058562555456966,0.6511627906976745,0.6666666666666666,0.1460591678531878,0.06213151927437642
analcatdata_challenger,Optimal,0.011006709300000002,90,0.6521739130434783,1,24.004897959183673,0.17394853593611356,0.6511627906976745,0.6666666666666666,0.17753520012656224,0.12253968253968253
analcatdata_challenger,Fast,-1.0,90,0.6521739130434783,1,24.004897959183673,0.17394853593611356,0.6511627906976745,0.6666666666666666,0.17753520012656224,0.12253968253968253
analcatdata_chlamydia,Default,-1.0,96,0.96,1,17.25387755102041,0.17253877551020408,0.9753086419753086,0.8947368421052632,0.18063995968757873,0.13800214822771215
analcatdata_chlamydia,Optimal,0.00904519752,56,0.56,1,18.111836734693878,0.18111836734693879,0.5925925925925926,0.42105263157894735,0.19308641975308644,0.1300966702470462
analcatdata_chlamydia,Fast,-1.0,56,0.56,1,18.111836734693878,0.18111836734693879,0.5925925925925926,0.42105263157894735,0.19308641975308644,0.1300966702470462
analcatdata_lawsuit,Default,-1.0,250,0.946969696969697,1,46.43265306122449,0.17588126159554732,0.9428571428571428,1.0,0.17629321116201582,0.17056928034371643
analcatdata_lawsuit,Optimal,0.00846966912,115,0.4356060606060606,1,35.06040816326531,0.13280457637600496,0.39183673469387753,1.0,0.1149954185755935,0.36244897959183675
analcatdata_lawsuit,Fast,-1.0,115,0.4356060606060606,1,35.06040816326531,0.13280457637600496,0.39183673469387753,1.0,0.1149954185755935,0.36244897959183675
analcatdata_neavote,Default,-1.0,97,0.97,1,17.77469387755102,0.1777469387755102,0.967741935483871,1.0,0.17744129910028528,0.1818075801749271
analcatdata_neavote,Optimal,0.00899022334,22,0.22,1,5.918367346938775,0.05918367346938776,0.21505376344086022,0.2857142857142857,0.06047838490234803,0.04198250728862974
analcatdata_neavote,Fast,-1.0,22,0.22,1,5.918367346938775,0.05918367346938776,0.21505376344086022,0.2857142857142857,0.06047838490234803,0.04198250728862974
annthyroid,Default,-1.0,307,0.042638888888888886,1,74.96489795918367,0.010411791383219954,0.04095409540954095,0.06367041198501873,0.009773507963041201,0.018379576549721013
