Repository URL,Star Count,Algorithm
https://github.com/scikit-learn/scikit-learn,56669,IF;LOF;OCSVM;OCSVM
https://github.com/google-research/google-research,31615,LOF
https://github.com/shap/shap,20701,IF
https://github.com/mindsdb/mindsdb,19203,IF
https://github.com/pycaret/pycaret,8005,IF;LOF
https://github.com/yzhao062/pyod,7668,LOF;OCSVM
https://github.com/catboost/catboost,7494,IF;LOF;OCSVM
https://github.com/h2oai/h2o-3,6574,IF
https://github.com/mage-ai/mage-ai,6039,IF;LOF
https://github.com/online-ml/river,4556,LOF;OCSVM
https://github.com/biolab/orange3,4378,OCSVM
https://github.com/microsoft/hummingbird,3252,IF
https://github.com/salesforce/Merlion,3155,IF
https://github.com/TeamHG-Memex/eli5,2701,OCSVM
https://github.com/BayesWitnesses/m2cgen,2663,OCSVM
https://github.com/mars-project/mars,2657,IF
https://github.com/infstellar/genshin_impact_assistant,2046,IF
https://github.com/Xtra-Computing/thundersvm,1511,OCSVM
https://github.com/hyperopt/hyperopt-sklearn,1489,OCSVM
https://github.com/amaiya/ktrain,1194,LOF
https://github.com/logpai/loglizer,1165,IF
https://github.com/pygod-team/pygod,1110,IF
https://github.com/ryfeus/lambda-packs,1103,IF;LOF;OCSVM
https://github.com/koaning/scikit-lego,1089,IF
https://github.com/intel/scikit-learn-intelex,1088,LOF
https://github.com/arundo/adtk,982,LOF
https://github.com/h2oai/sparkling-water,956,IF
https://github.com/xorbitsai/xorbits,934,IF
https://github.com/MentatInnovations/datastream.io,882,LOF
https://github.com/ColdGrub1384/Pyto,823,IF;LOF;OCSVM
https://github.com/shubhomoydas/ad_examples,817,IF;LOF;OCSVM
https://github.com/A3sal0n/CyberThreatHunting,756,IF
https://github.com/lzjqsdd/scikit-learn-doc-cn,723,OCSVM
https://github.com/neka-nat/probreg,717,OCSVM
https://github.com/Minqi824/ADBench,700,OCSVM
https://github.com/dmlc/treelite,689,IF
https://github.com/scikit-tda/kepler-mapper,605,IF
https://github.com/analyticalmindsltd/smote_variants,556,IF
https://github.com/chaoss/augur,548,IF
https://github.com/ysig/GraKeL,547,OCSVM
https://github.com/aangelopoulos/conformal-prediction,532,IF
https://github.com/jpmml/jpmml-sklearn,517,IF
https://github.com/koaning/doubtlab,484,IF
https://github.com/onnx/sklearn-onnx,482,LOF
https://github.com/earthgecko/skyline,463,IF;LOF
https://github.com/LeBron-Jian/MachineLearningNote,457,IF;LOF;OCSVM
https://github.com/tushushu/imylu,441,IF
https://github.com/mdipietro09/DataScience_ArtificialIntelligence_Utils,423,OCSVM
