Repository URL,Star Count
https://github.com/HelenGuohx/logbert,185
https://github.com/scikit-learn/scikit-learn,56680
https://github.com/nccgroup/Splunking-Crime,11
https://github.com/online-ml/river,4556
https://github.com/neka-nat/probreg,717
https://github.com/Xtra-Computing/thundersvm,1511
https://github.com/sql-machine-learning/models,37
https://github.com/somanshu25/GPU-Accelerated-Point-Cloud-Registration-Using-Hierarchical-GMM,106
https://github.com/microsoft/python-type-stubs,220
https://github.com/akionakamura/scikit-learn,0
https://github.com/SenchaBrest/UNIVERSITY,11
https://github.com/wagonhelm/neuro-car,7
https://github.com/ANSSI-FR/SecuML,267
https://github.com/Kaslanarian/PySVM,24
https://github.com/ryfeus/lambda-packs,1103
https://github.com/lukasruff/Deep-SAD-PyTorch,320
https://github.com/boozallen/MOTIF,130
https://github.com/nateemma/strategies,209
https://github.com/mdipietro09/DataScience_ArtificialIntelligence_Utils,423
https://github.com/raghavchalapathy/oc-nn,161
https://github.com/SoftwareAG/nyoka,179
https://github.com/LeBron-Jian/MachineLearningNote,458
https://github.com/hyhmia/BlindMI,20
https://github.com/aehrc/INSIDER,8
https://github.com/ssloxford/biometric-backdoors,12
https://github.com/vanloicao/SAEDVAE,18
https://github.com/yzhao062/XGBOD,75
https://github.com/gatapia/py_ml_utils,180
https://github.com/sisoc-tokyo/Real-timeDetectionAD_ver2,83
https://github.com/hkaneko1985/dcekit,45
https://github.com/DataCanvasIO/HyperTS,222
https://github.com/amarack/python-rl,115
https://github.com/ssunshu/scikit-learn,0
https://github.com/ORippler/gaussian-ad-mvtec,95
https://github.com/hyperopt/hyperopt-sklearn,1489
https://github.com/loli/sklearn-ensembletrees,3
https://github.com/scikit-learn/scikit-learn.github.io,165
https://github.com/newrelic/newrelic-python-agent,158
https://github.com/yzhao062/pyod,7668
https://github.com/sfme/RVAE_MixedTypes,45
https://github.com/APPIAN-PET/APPIAN,34
https://github.com/zhongyuchen/outlier-detection,13
https://github.com/biolab/orange3,4378
https://github.com/brenerovl/TCC,6
https://github.com/abhijeet3922/User-Verification-based-on-Keystroke-Dynamics,12
https://github.com/LingxiaoShawn/GLOD-Issues,11
https://github.com/albertcthomas/anomaly_tuning,37
https://github.com/spierre91/builtiin,47
https://github.com/tvdboom/ATOM,136
https://github.com/AnverK/VK_Graduation,5
https://github.com/gdahia/meta_occ,14
https://github.com/djsutherland/py-sdm,48
https://github.com/Apress/practical-data-science,31
https://github.com/againerju/maad_highway,27
https://github.com/BILLBEATTHEPEAT/2017-PHM-Challenge-Competition,9
https://github.com/laugustyniak/textlytics,26
https://github.com/root-master/unified-hrl,35
https://github.com/scikit-learn/scikit-learn,56681
https://github.com/praveentn/hgwxx7,7
https://github.com/BA-HanseML/NF_Prj_MIMII_Dataset,20
https://github.com/choderalab/MSMs,3
https://github.com/amitness/fns,21
https://github.com/open-lasso-python/lasso-python,38
