Repository URL,Star Count
https://github.com/scikit-learn/scikit-learn,56669
https://github.com/shap/shap,20701
https://github.com/mindsdb/mindsdb,19203
https://github.com/pycaret/pycaret,8005
https://github.com/catboost/catboost,7494
https://github.com/h2oai/h2o-3,6574
https://github.com/mage-ai/mage-ai,6039
https://github.com/microsoft/hummingbird,3252
https://github.com/salesforce/Merlion,3155
https://github.com/mars-project/mars,2657
https://github.com/infstellar/genshin_impact_assistant,2046
https://github.com/logpai/loglizer,1165
https://github.com/pygod-team/pygod,1110
https://github.com/ryfeus/lambda-packs,1103
https://github.com/koaning/scikit-lego,1089
https://github.com/h2oai/sparkling-water,956
https://github.com/xorbitsai/xorbits,934
https://github.com/ColdGrub1384/Pyto,823
https://github.com/shubhomoydas/ad_examples,817
https://github.com/A3sal0n/CyberThreatHunting,756
https://github.com/dmlc/treelite,689
https://github.com/scikit-tda/kepler-mapper,605
https://github.com/analyticalmindsltd/smote_variants,556
https://github.com/chaoss/augur,548
https://github.com/aangelopoulos/conformal-prediction,532
https://github.com/jpmml/jpmml-sklearn,517
https://github.com/koaning/doubtlab,484
https://github.com/earthgecko/skyline,463
https://github.com/LeBron-Jian/MachineLearningNote,457
https://github.com/tushushu/imylu,441
https://github.com/SuperCowPowers/zat,409
https://github.com/DUanalytics/pyAnalytics,401
https://github.com/ljwztc/CLIP-Driven-Universal-Model,386
https://github.com/MannLabs/CKG,364
https://github.com/raphaelvallat/yasa,358
https://github.com/IBM/lale,311
https://github.com/delvelabs/batea,287
https://github.com/amueller/scipy-2017-sklearn,280
https://github.com/OmicsML/dance,273
https://github.com/openml/openml-python,268
https://github.com/ANSSI-FR/SecuML,267
https://github.com/waico/SKAB,260
https://github.com/PacktPublishing/Modern-Time-Series-Forecasting-with-Python,254
https://github.com/Albertsr/Anomaly-Detection,253
https://github.com/amueller/scipy-2018-sklearn,246
https://github.com/h2oai/driverlessai-recipes,224
https://github.com/DataCanvasIO/HyperTS,222
https://github.com/microsoft/python-type-stubs,220
https://github.com/duoergun0729/3book,210
https://github.com/jonnor/machinehearing,210
https://github.com/vertica/VerticaPy,209
https://github.com/nateemma/strategies,208
https://github.com/NVlabs/latentfusion,204
https://github.com/PacktPublishing/Python-Data-Cleaning-Cookbook,203
https://github.com/xuhongzuo/outlier-interpretation,196
https://github.com/DavidJBianco/Clearcut,195
https://github.com/HelenGuohx/logbert,185
https://github.com/SoftwareAG/nyoka,179
https://github.com/xuhongzuo/DeepOD,176
https://github.com/pranab/avenir,173
https://github.com/scikit-learn/scikit-learn.github.io,165
https://github.com/david-cortes/isotree,164
https://github.com/raghavchalapathy/oc-nn,161
https://github.com/adobe/OSAS,151
https://github.com/pybokeh/jupyter_notebooks,146
https://github.com/PacktPublishing/Machine-Learning-Engineering-with-Python,144
https://github.com/kunlaotou/Anomaly-Detection,138
https://github.com/RubensZimbres/Repo-2019,136
https://github.com/boozallen/MOTIF,130
https://github.com/pranab/beymani,129
https://github.com/pnnl/safekit,127
https://github.com/PacktPublishing/Hands-On-Artificial-Intelligence-for-Banking,125
https://github.com/LogIntelligence/LogADEmpirical,114
https://github.com/juexinwang/scGNN,113
https://github.com/deel-ai/puncc,112
https://github.com/dpinney/omf,110
https://github.com/algorithmica-repository/datascience,104
https://github.com/getcrest/AutoOut,99
https://github.com/salimamoukou/acv00,90
https://github.com/ewels/MegaQC,87
https://github.com/georgian-io/pyoats,87
https://github.com/TimeEval/TimeEval-algorithms,85
https://github.com/PacktPublishing/Machine-Learning-Engineering-with-Python-Second-Edition,81
https://github.com/alexfrancow/A-Detector,79
https://github.com/splunk/mltk-algo-contrib,77
https://github.com/yzhao062/XGBOD,75
https://github.com/dhofmann34/AutoOD_Demo,75
https://github.com/raamana/visualqc,70
https://github.com/google/madi,69
